source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
604899315614438784,0.006,0.0554
604900277687127552,0.2689,0.3764
604900449485821568,0.0,0.116
604713463788946560,0.6719,0.894
604713463788946432,0.0512,0.1694
604903370063591424,0.0189,0.0525
604901239759778176,0.0294,0.2624
604900690003981312,0.0583,0.232
604901957018617728,0.0254,0.2256
604903713660959488,0.0866,0.248
604902407990875520,0.042,0.0931
604905156769963136,0.0039,0.0431
604902682868787584,0.035,0.2221
604904778812856064,0.1192,0.309
604905947043939072,0.1264,0.2423
604906256281593472,0.0026,0.1208
604926322368772096,0.2403,0.51
604925875692160640,0.0729,0.1888
604906599878983680,0.0666,0.1181
604906118842621568,0.3589,0.553
604906153202364544,0.0079,0.1571
604926494167460352,0.2769,0.427
604926494167461376,0.3393,0.6668
604906148906681088,0.0122,0.1404
604907252713995008,0.07,0.247
604930445537381632,0.0909,0.182
604930544320911744,0.0729,0.2373
604930067580245888,0.0629,0.2313
604919033808556800,0.1709,0.431
604930235082768768,0.0264,0.2771
604931819926896384,0.0053,0.1746
604920202039656064,0.0024,0.2972
604943291783363840,0.1084,0.3618
604944086353518592,0.0079,0.1401
604933125596954240,0.023,0.1481
604945804340420736,0.0696,0.2658
604945387727420416,0.055,0.4531
604945598181981696,0.0069,0.084
604947865924535808,0.0526,0.198
604945701261192192,0.1302,0.2676
604946693397490816,0.0079,0.255
604948724917993984,0.0112,0.1551
604946732053144576,0.2206,0.6931
604949961868553856,0.0825,0.2141
604954497354194688,0.4597,0.7057
604998404803662080,0.0729,0.2373
604998237300962048,0.0039,0.2038
604735007344961792,0.5649,0.815
604736690972080512,0.2015,0.5318
604736381734433664,0.0625,0.2455
604708202453409408,0.257,0.6521
604695734164025216,0.2143,0.3681
604703941846497280,0.0893,0.4937
604699445015802624,0.0777,0.161
604698306849407232,0.0019,0.109
604687006790509568,0.0,0.154
604696730596495744,0.0817,0.6298
604995248003823488,0.0039,0.0671
604708992727391488,0.03,0.332
605005418486272896,0.0473,0.2521
604993667455856896,0.0244,0.1913
605004387694123136,0.0879,0.2507
605013767903055616,0.069,0.3161
604891992694503040,0.035,0.2221
608000041483441920,0.0452,0.2295
605035066644502272,0.0585,0.173
605016241803914368,0.6869,0.8723
605022186038605568,0.0639,0.1625
604993598736391040,0.0,0.1041
605011019123613568,0.013,0.1116
608022959428902272,0.0362,0.191
605015309794935552,0.1009,0.51
605027266985143808,0.0313,0.1384
604891923975026816,0.4609,0.7363
598975005228795008,0.1375,0.6231
598956420905951360,0.048,0.1271
608002408009810176,0.0574,0.1793
598951438743912192,0.078,0.543
605038644352883456,0.0373,0.1816
604682501369762048,0.1169,0.2141
604743562919743872,0.012,0.176
604647802329113600,0.0653,0.219
602014639483540096,0.0659,0.292
