EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,phot_g_mean_flux_Gaia,phot_g_mean_flux_error_Gaia,phot_g_mean_mag_Gaia,phot_bp_mean_flux_Gaia,phot_bp_mean_flux_error_Gaia,phot_bp_mean_mag_Gaia,phot_rp_mean_flux_Gaia,phot_rp_mean_flux_error_Gaia,phot_rp_mean_mag_Gaia,bp_rp_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,e_bp_min_rp_val_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,gmag_PS1,e_gmag_PS1,gKmag_PS1,e_gKmag_PS1,gFlags_PS1,rmag_PS1,e_rmag_PS1,rKmag_PS1,e_rKmag_PS1,rFlags_PS1,imag_PS1,e_imag_PS1,iKmag_PS1,e_iKmag_PS1,iFlags_PS1,zmag_PS1,e_zmag_PS1,zKmag_PS1,e_zKmag_PS1,zFlags_PS1,ymag_PS1,e_ymag_PS1,yKmag_PS1,e_yKmag_PS1,yFlags_PS1,angDist_PS1,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
211824166.0,KTWO211824166-C18,18.0,27.0,,,LC,,,,,,,,,,,,,,,,,,,,,15.282,0.06,14.788,0.064,14.313,0.064,17.805999999999994,JHK,,,,,08434924+1739334,,0.897,0.103,0.688,5493.748000000001,4139.812,3078.519,13.0,2.0,42.0,,,0.006999999999999999,130.95519,17.659288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211807213.0,KTWO211807213-C16,16.0,23.0,,,LC,,,,,,,22.47,0.235,,,,,20.679,0.024,19.146,0.012,17.379,0.006999999999999999,16.423,0.009000000000000001,14.832,0.038,14.223,0.04,13.917,0.044,18.369,gri,,,5112-301-4-0144-0342,,08435041+1725077,,0.871,0.13,0.639,,,,8.0,2.0,22.0,,,0.006999999999999999,130.960065,17.418831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211807213.0,KTWO211807213-C18,18.0,27.0,,,LC,,,,,,,22.47,0.235,,,,,20.679,0.024,19.146,0.012,17.379,0.006999999999999999,16.423,0.009000000000000001,14.832,0.038,14.223,0.04,13.917,0.044,18.369,gri,,,5112-301-4-0144-0342,,08435041+1725077,,0.916,0.084,0.443,4344.036,3426.916,2778.757,13.0,2.0,42.0,,,0.006999999999999999,130.960065,17.418831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212007527.0,KTWO212007527-C05,5.0,31.0,,,LC,-32.9,2.2,-9.6,2.8,,,,,13.948,0.02,12.957,0.031,13.505,0.032,12.595,0.041,12.249,0.061,,,10.999,0.022,10.48,0.024,10.343,0.017,12.625,gri,,,,552-043602,08271521+2022444,,1.0,0.0,0.967,,,,19.0,4.0,68.0,,,0.009000000000000001,126.81336,20.378964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212007527.0,KTWO212007527-C18,18.0,27.0,,,LC,-32.9,2.2,-9.6,2.8,,,,,13.948,0.02,12.957,0.031,13.505,0.032,12.595,0.041,12.249,0.061,,,10.999,0.022,10.48,0.024,10.343,0.017,12.625,gri,,,,552-043602,08271521+2022444,,1.0,0.0,0.947,737.8389999999998,726.5310000000002,725.273,19.0,4.0,68.0,,,0.009000000000000001,126.81336,20.378964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212020426.0,KTWO212020426-C16,16.0,23.0,,,LC,,,,,,,,,,,,,,,,,,,,,15.839,0.069,15.129,0.083,14.933,0.116,18.234,JHK,,,,,08560696+2035369,,0.889,0.111,0.546,,,,12.0,1.0,37.0,,,0.012,134.02902,20.593599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212020426.0,KTWO212020426-C18,18.0,27.0,,,LC,,,,,,,,,,,,,,,,,,,,,15.839,0.069,15.129,0.083,14.933,0.116,18.234,JHK,,,,,08560696+2035369,,0.8490000000000001,0.151,0.778,,,,9.0,4.0,28.0,,,0.012,134.02902,20.593599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212163442.0,KTWO212163442-C05,5.0,31.0,,,LC,-41.8,4.6,-14.4,5.1,,,,,16.366,0.11,14.905,0.03,15.684,0.06,14.312,0.02,13.470999999999998,0.04,,,11.727,0.023,11.088,0.032,10.858,0.021,14.135,gri,,,4569-301-4-0142-0025,567-043746,08485626+2319565,,1.0,0.0,0.835,,,,10.0,3.0,31.0,,,0.01,132.234405,23.332376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212085300.0,KTWO212085300-C05,5.0,31.0,,,LC,-33.4,0.9,-14.9,1.0,,,,,10.382,0.041,9.933,0.036000000000000004,10.449000000000002,0.03,9.854,0.04,9.763,0.06,,,9.079,0.026,8.89,0.017,8.856,0.02,9.969,gri,,1391-299-1,,559-045596,08243304+2144219,,1.0,0.0,1.0,,,,20.0,2.0,70.0,,,0.01,126.13767,21.739425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211715159.0,KTWO211715159-C18,18.0,27.0,,,LC,-33.0,5.0,-7.0,5.0,,,23.572,0.525,,,,,21.486,0.048,19.862,0.018000000000000002,18.11,0.009000000000000001,17.124000000000002,0.012,15.477,0.051,14.922,0.078,14.651,0.078,19.123,gri,,,5112-301-1-0143-0374,,08451949+1607100,,0.753,0.246,0.68,,,,13.0,3.0,43.0,,,0.013,131.33123999999998,16.119459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211716023.0,KTWO211716023-C16,16.0,23.0,,,LC,-34.5,1.2,-5.2,1.4,,,,,13.438,0.05,12.545,0.02,12.92,0.03,12.233,0.03,11.973,0.04,,,10.938,0.019,10.493,0.016,10.435,0.02,12.257,gri,,,,531-047493,08494837+1607515,,0.999,0.0006,0.961,311.345,298.296,296.291,14.0,1.0,45.0,,,0.008,132.4515,16.130975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211716023.0,KTWO211716023-C18,18.0,27.0,,,LC,-34.5,1.2,-5.2,1.4,,,,,13.438,0.05,12.545,0.02,12.92,0.03,12.233,0.03,11.973,0.04,,,10.938,0.019,10.493,0.016,10.435,0.02,12.257,gri,,,,531-047493,08494837+1607515,,0.999,0.002,0.975,548.617,553.939,573.524,8.0,1.0,21.0,,,0.008,132.4515,16.130975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211844142.0,KTWO211844142-C05,5.0,31.0,,,LC,-18.0,4.0,-21.0,4.0,,,23.375,0.4,,,,,20.72,0.023,19.164,0.012,17.442,0.006999999999999999,16.498,0.009000000000000001,15.034,0.038,14.416,0.045,14.094,0.063,18.425,gri,,,5061-301-3-0105-0444,,08384340+1756168,,0.685,0.315,0.731,,,,13.0,1.0,41.0,,,0.006999999999999999,129.68088,17.938011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211844142.0,KTWO211844142-C16,16.0,23.0,,,LC,-18.0,4.0,-21.0,4.0,,,23.375,0.4,,,,,20.72,0.023,19.164,0.012,17.442,0.006999999999999999,16.498,0.009000000000000001,15.034,0.038,14.416,0.045,14.094,0.063,18.425,gri,,,5061-301-3-0105-0444,,08384340+1756168,,0.909,0.091,0.451,,,,8.0,3.0,23.0,,,0.006999999999999999,129.68088,17.938011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211843786.0,KTWO211843786-C05,5.0,31.0,,,LC,,,,,,,,,,,,,,,,,,,,,15.535,0.058,14.966,0.068,14.545,0.081,18.077,JHK,,,,,08384028+1755595,,0.931,0.069,0.409,5179.307,3955.691,2911.275,13.0,1.0,41.0,,,0.008,129.66786000000002,17.933204999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
