EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,id_N,RAJ2000_N,DEJ2000_N,gaia_id_Gao,RAJ2000_Gao,DEJ2000_Gao,PMem_Gao,dist_N_Gao,RAJ2000_N_Gao,DEJ2000_N_Gao,EPIC_id_Gonzalez,PMem_Gonzalez,RAJ2000_Gonzalez,DEJ2000_Gonzalez,binary,dist_N_Gao_Gonzalez,PMem_mean
211394397.0,KTWO211394397-C05,5.0,31.0,132.958005,11.555136,LC,-8.0,1.0,-3.9,2.0,,,,,13.261,0.02,12.712,0.01,13.047,0.26,12.58,0.03,12.513,0.08,,,11.632,0.022000000000000002,11.372,0.022000000000000002,11.319,0.02,12.673,gri,,,,508-049273,08514992+1133184,,1.0,0.0005,0.963,,,,6.0,1.0,13.0,,,0.002,132.958005,11.555136,241.0,132.95797,11.555104,6.04893165221336e+17,132.95795444105,11.555135041300002,1.0,0.1244959898931738,132.957962220525,11.55511952065,211394397.0,0.9,132.958007,11.555136,0.0,0.16871341195361983,0.95
211394534.0,KTWO211394534-C18,18.0,27.0,132.762225,11.557072999999999,LC,-9.8,3.0,-3.8,3.5,,,,,16.834,0.01,15.874,0.04,16.49,0.34,15.597000000000001,0.03,15.296,0.102,,,14.245,0.027999999999999997,13.779000000000002,0.031,13.682,0.038,15.654000000000002,gri,,,5972-301-5-0117-0048,508-049209,08510294+1133254,,1.0,0.0005,0.774,,,,6.0,1.0,13.0,,,0.002,132.762225,11.557072999999999,253.0,132.76221,11.557007,6.048953255891379e+17,132.76217088517998,11.55705861418,0.999,0.23142662942140718,132.76219044259,11.55703280709,211394534.0,0.9,132.762225,11.557072999999999,0.0,0.18918853704300884,0.9495
211394542.0,KTWO211394542-C05,5.0,31.0,132.674805,11.557317,LC,,,,,,,,,,,,,,,,,,,,,15.364,0.043,14.659,0.055,14.552999999999999,0.076,17.458,JHK,,,,,08504195+1133263,,1.0,0.0,0.7140000000000001,2072.5789999999997,1726.826,1388.994,6.0,1.0,13.0,,,0.003,132.674805,11.557317,255.0,132.67479,11.557199,5.989024374620303e+17,132.67473621726998,11.55728869429,1.0,0.3744959196519398,132.67476310863498,11.557243847145,211394542.0,0.9,132.674803,11.557317,0.0,0.2985784305571734,0.95
211394607.0,KTWO211394607-C05,5.0,31.0,132.808515,11.558483,LC,-10.0,1.7,-3.0,1.5,,,,,13.852,0.03,13.317,0.02,13.661,0.3,13.189,0.04,13.115,0.11,,,12.274000000000001,0.022000000000000002,12.027999999999999,0.023,11.940999999999999,0.02,13.279000000000002,gri,,,,508-049227,08511405+1133306,,1.0,0.0,0.9390000000000001,,,,6.0,1.0,13.0,,,0.001,132.808515,11.558483,258.0,132.8085,11.558452,6.048946383943556e+17,132.80847232803,11.55848411421,1.0,0.1512993157711598,132.808486164015,11.558468057105,211394607.0,0.9,132.808517,11.558483,0.0,0.12133515182713908,0.95
211394537.0,KTWO211394537-C05,5.0,31.0,132.537555,11.55723,LC,-12.2,2.0,-4.8,2.2,,,,,14.82,0.07,14.224,0.02,14.648,0.44,14.056,0.03,14.075,0.24,,,13.099,0.021,12.797,0.025,12.797,0.023,14.247,gri,,,,508-049136,08500901+1133261,,1.0,0.0,0.915,,,,6.0,1.0,13.0,,,0.002,132.537555,11.55723,259.0,132.53757,11.557153,5.989017545623124e+17,132.5375323317,11.55722179282,0.998,0.28103990636352744,132.53755116585,11.55718739641,211394537.0,0.9,132.537562,11.55723,0.0,0.1580614535098007,0.9490000000000001
211394644.0,KTWO211394644-C05,5.0,31.0,132.788715,11.55916,LC,-10.0,5.1,-6.1,2.8,,,,,15.544,0.04,14.807,0.02,15.255,0.28,14.620999999999999,0.03,14.515,0.12,,,13.525,0.024,13.187999999999999,0.026000000000000002,13.158,0.027000000000000003,14.737,gri,,,,508-049220,08510930+1133330,,1.0,0.0,0.875,,,,6.0,1.0,13.0,,,0.001,132.788715,11.55916,261.0,132.78871,11.559123,6.048953642446259e+17,132.78867529675,11.55916031859,0.999,0.18174250479939583,132.788692648375,11.559141659295,211394644.0,0.9,132.788716,11.55916,0.0,0.10555953030556325,0.9495
211395037.0,KTWO211395037-C05,5.0,31.0,132.48753,11.565085,LC,-11.3,2.8,-4.0,3.4,,,,,16.093,0.08,15.275,0.05,15.85,0.47,15.067,0.04,14.902000000000001,0.18,,,13.835999999999999,0.025,13.464,0.027999999999999997,13.374,0.031,15.187000000000001,gri,,,,508-049123,08495701+1133543,,1.0,0.0001,0.863,,,,6.0,1.0,13.0,,,0.002,132.48753,11.565085,280.0,132.48752,11.56499,5.989048426434662e+17,132.48749158364998,11.5650738888,0.998,0.31819530062491547,132.487505791825,11.565031944400001,211395037.0,0.9,132.487529,11.565085,0.0,0.20780039661642472,0.9490000000000001
211395187.0,KTWO211395187-C18,18.0,27.0,132.780435,11.567452000000001,LC,-14.0,3.0,-4.0,3.0,,,22.26,0.18,,,,,19.798,0.015,18.366,0.008,17.368,0.006,16.826,0.009000000000000001,15.542,0.054000000000000006,14.84,0.063,14.842,0.092,18.097,gri,,,5972-301-5-0117-0361,,08510730+1134028,,0.838,0.162,0.7659999999999999,3178.869,2491.135,1939.6529999999998,6.0,1.0,13.0,,,0.003,132.780435,11.567452000000001,288.0,132.7804,11.567349,6.048954286683552e+17,132.7803563092,11.5674396917,0.931,0.3610266442060595,132.7803781546,11.567394345850001,211395187.0,0.9,132.780428,11.567452000000001,0.0,0.2720005240151804,0.9155
211395501.0,KTWO211395501-C18,18.0,27.0,132.6408,11.572581,LC,-12.0,1.5,-5.4,2.1,,,,,14.312999999999999,0.07,13.717,0.03,14.105,0.36,13.56,0.02,13.550999999999998,0.18,,,12.603,0.021,12.341,0.023,12.275,0.026000000000000002,13.717,gri,,,,508-049171,08503379+1134213,,1.0,0.0001,0.919,146.189,124.10700000000001,96.255,6.0,1.0,13.0,,,0.002,132.6408,11.572581,307.0,132.64081000000002,11.572526,5.989026822752326e+17,132.64075380682,11.572578268880001,0.998,0.2732832167174408,132.64078190341002,11.57255213444,,,,,,,0.998
211395492.0,KTWO211395492-C05,5.0,31.0,132.61453500000002,11.572469,LC,,,,,,,,,,,,,,,,,,,,,15.845999999999998,0.068,15.142999999999999,0.086,14.875,0.094,18.372,JHK,,,,,08502749+1134208,,0.878,0.122,0.586,,,,6.0,1.0,13.0,,,0.004,132.61453500000002,11.572469,308.0,132.6145,11.572348,,,,,,132.6145,11.572348,211395492.0,0.9,132.614542,11.572469,0.0,0.46009650162419574,0.9
