K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
210523892,KTWO210523892-C04,4,STAR,33,61.0447350,15.8060850,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4024_GO4026_GO4048_GO4095_GO4097,133.000,3.000,-20.000,3.000,,,21.551,0.128,,,,,19.155,0.010,17.574,0.005,15.577,0.004,14.478,0.004,12.779,0.023,12.203,0.026,11.859,0.020,16.650,gri,,,6475-301-6-0143-0172,,04041073+1548219,,2019-07-19 23:19:35,1.000,0.000,0.818,1332.271,1064.273,881.402,12,3,39,,,19,0.006
210742592,KTWO210742592-C04,4,STAR,33,61.0533900,18.9957220,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4054_GO4095_GO4097,110.200,17.800,-23.600,17.900,,,,,18.107,0.220,17.030,0.101,17.268,0.130,16.129,0.020,14.448,0.090,,,11.918,0.021,11.338,0.022,11.063,0.018,15.294,gri,,,,545-008609,04041279+1859445,,2019-07-19 21:10:21,1.000,0.000,0.842,780.535,712.590,645.589,8,1,21,,,19,9.097e-4
210835395,KTWO210835395-C04,4,STAR,33,61.1126850,20.4084530,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4054_GO4095_GO4097,,,,,,,,,17.620,0.150,15.815,0.080,16.746,0.080,15.262,0.070,14.486,0.230,,,11.210,0.024,10.594,0.027,10.325,0.018,15.164,gri,,,,553-008671,04042701+2024303,,2019-07-19 21:13:54,1.000,0.000,0.869,648.019,513.459,398.611,8,2,22,,,19,0.001
210771915,KTWO210771915-C04,4,STAR,33,61.3569600,19.4421620,SC,KSC,1,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4102,122.620,4.550,-28.430,2.990,15.760,4.150,,,13.192,0.567,11.660,0.219,12.120,0.030,10.937,0.040,10.376,0.090,,,8.889,0.032,8.259,0.027,8.107,0.026,10.899,gri,19082,1258-652-1,,548-008514,04052565+1926316,,2019-07-19 20:11:58,1.000,0.000,1.000,,,,8,1,21,,,21,0.007
210771915,KTWO210771915-C04,4,STAR,33,61.3569600,19.4421620,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4072_GO4095_GO4102_GO4109,122.620,4.550,-28.430,2.990,15.760,4.150,,,13.192,0.567,11.660,0.219,12.120,0.030,10.937,0.040,10.376,0.090,,,8.889,0.032,8.259,0.027,8.107,0.026,10.899,gri,19082,1258-652-1,,548-008514,04052565+1926316,,2019-07-19 22:02:35,1.000,0.000,1.000,50.317,48.591,46.779,8,1,21,,,21,0.007
210517342,KTWO210517342-C04,4,STAR,33,61.5672000,15.6981180,SC,KSC,,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4074,118.450,1.070,-20.700,0.780,21.770,1.300,,,8.435,0.020,7.831,0.014,9.644,0.120,8.766,0.050,7.860,0.050,,,6.753,0.024,6.532,0.036,6.446,0.024,8.395,gri,19148,1250-686-1,,529-007653,04061614+1541532,,2019-07-19 20:11:16,1.000,0.000,1.000,,,,12,3,39,,,21,0.006
210517342,KTWO210517342-C04,4,STAR,33,61.5672000,15.6981180,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4024_GO4032_GO4033_GO4048_GO4067_GO4072_GO4074_GO4104,118.450,1.070,-20.700,0.780,21.770,1.300,,,8.435,0.020,7.831,0.014,9.644,0.120,8.766,0.050,7.860,0.050,,,6.753,0.024,6.532,0.036,6.446,0.024,8.395,gri,19148,1250-686-1,,529-007653,04061614+1541532,,2019-07-19 23:18:31,1.000,0.000,1.000,3064.889,3165.688,3095.439,12,3,39,,,21,0.006
210744677,KTWO210744677-C04,4,STAR,33,61.5860250,19.0275080,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4095_GO4097,109.000,4.800,-21.600,5.300,,,,,,,,,,,,,,,,,11.341,0.022,10.756,0.020,10.471,0.018,13.631,JHK,,,4334-301-3-0128-0186,546-008693,04062060+1901391,,2019-07-19 21:55:33,1.000,0.000,0.927,590.894,523.914,448.687,8,1,21,,,19,0.003
210827030,KTWO210827030-C04,4,STAR,33,61.7635500,20.2807970,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4095_GO4097_GO4109,,,,,,,,,,,,,,,,,,,,,11.450,0.020,10.858,0.022,10.556,0.018,13.812,JHK,,,,552-008698,04070323+2016510,,2019-07-19 22:12:48,1.000,0.000,0.932,1398.520,1157.433,897.005,8,3,23,,,19,0.001
210402455,KTWO210402455-C04,4,STAR,33,62.0770350,13.5238760,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4024_GO4033_GO4048_GO4060_GO4104,95.400,1.300,-4.800,1.200,,,,,9.673,0.037,8.740,0.022,,,,,,,,,7.185,0.037,6.749,0.040,6.645,0.029,8.506,BV,,678-336-1,,518-007427,04081848+1331258,,2019-07-19 23:05:53,1.000,0.000,1.000,64.540,55.293,48.944,11,3,35,,,19,6.271e-4
