EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,PMem_mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.662468761249428e+17,129.98479,23.73215,0.9,,,,,,129.98479,23.73215,,,,,,129.98479,23.73215,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.644867985251482e+17,130.49668,20.9186,0.9,,,,,,130.49668,20.9186,130.49679170000002,20.918622199999998,0.99,0.0,0.3840238932795306,130.49671723333333,20.9186074,130.4966820206,20.9185999853,6.64486798525148e+17,1.0,0.12138189508146321,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64537032463945e+17,130.31005,20.99616,0.9,,,,,,130.31005,20.99616,130.3102083,20.9962111,0.99,0.0,0.5629479605410789,130.31010276666666,20.996177033333336,130.3100533171,20.9961563557,6.64537032463945e+17,0.8,0.1821078717484896,0.8966666666666668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645390940482415e+17,130.36535,21.0613,0.9,,,,,,130.36535,21.0613,130.3655,21.061355600000002,0.99,0.0,0.5422226881985357,130.3654,21.061318533333335,130.3653534938,21.0613010186,6.64539094048242e+17,1.0,0.168481364354101,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.643764350473032e+17,128.8667,20.196279999999998,0.9,,,,,,128.8667,20.196279999999998,128.86679170000002,20.196341699999998,0.99,0.0,0.3812182738863687,128.8667305666667,20.196300566666665,128.86669819809998,20.1962811908,6.64376435047303e+17,0.8,0.12971351250682286,0.8966666666666668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.642887489952282e+17,129.32606,19.69894,0.9,,,,,,129.32606,19.69894,129.32616670000002,19.6989861,0.99,0.0,0.3979022716021245,129.32609556666668,19.698955366666667,129.326058549,19.6989409585,6.64288748995228e+17,1.0,0.1357637477009452,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.642851755824321e+17,129.43716,19.674670000000003,0.9,,,,,,129.43716,19.674670000000003,129.4372917,19.674722199999998,0.99,0.0,0.4843790825325377,129.43720390000001,19.6746874,129.437159805,19.6746737105,6.64285175582432e+17,0.8,0.15738925069337237,0.8966666666666668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.643746139811907e+17,128.72953,20.10543,0.9,,,,,,128.72953,20.10543,128.72966670000002,20.1055,0.99,0.0,0.5263734382802002,128.72957556666668,20.105453333333333,128.729527205,20.105425041,6.64374613981191e+17,1.0,0.19262323635890963,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645352113962829e+17,130.00385,20.972820000000002,0.9,,,,,,130.00385,20.972820000000002,,,,,,130.00385,20.972820000000002,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.644876231602372e+17,130.52142,20.96565,0.9,,,,,,130.52142,20.96565,130.5215417,20.965702800000003,0.99,1.0,0.45111513829343775,130.52146056666666,20.9656676,130.5214206567,20.9656543432,6.64487623160237e+17,1.0,0.14239928954535971,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645094372978499e+17,129.86046000000002,20.86233,0.9,,,,,,129.86046000000002,20.86233,129.86058329999997,20.8623917,0.99,0.0,0.4705088678499907,129.8605011,20.862350566666667,,,,,,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645238340282592e+17,129.69075,20.9166,0.9,,,,,,129.69075,20.9166,129.6909167,20.9166528,0.83,0.0,0.5919223700531692,129.69080556666668,20.9166176,,,,,,0.865
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647595804897919e+17,129.5656,21.38561,0.9,,,,,,129.5656,21.38561,129.56575,21.38565,0.97,0.0,0.5230329735488677,129.56565,21.38562333333333,129.5655958806,21.3856068371,6.64759580489792e+17,1.0,0.19088808113034594,0.9566666666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64730065474561e+17,129.37795,21.1278,0.9,,,,,,129.37795,21.1278,129.3780833,21.127852800000003,0.99,0.0,0.48630820695502286,129.37799443333333,21.1278176,129.3779494875,21.1278039501,6.64730065474561e+17,1.0,0.15872631308591703,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647429460794277e+17,129.64833000000002,21.177210000000002,0.9,,,,,,129.64833000000002,21.177210000000002,129.6484583,21.1772639,0.98,0.0,0.47238089571824643,129.64837276666665,21.177227966666667,,,,,,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64705773139588e+17,129.47251,20.8729,0.9,,,,,,129.47251,20.8729,,,,,,129.47251,20.8729,129.4725146787,20.8729047036,6.64705773139588e+17,1.0,0.023117267236970232,0.95
