K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211982727,KTWO211982727-C18,18,STAR,27,130.6245300,19.9754750,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-37.000,3.000,-11.000,3.000,,,22.845,0.227,,,,,20.200,0.017,18.684,0.009,17.094,0.006,16.181,0.008,14.740,0.033,14.139,0.044,13.733,0.046,18.026,gri,,,5037-301-3-0119-0406,,08422988+1958317,,2018-10-17 13:18:58,0.882,0.118,0.843,,,,14,4,48,,,25,0.004
211881553,KTWO211881553-C16,16,STAR,23,130.6402950,18.4580730,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,15.622,0.074,14.930,0.084,14.632,0.097,18.164,JHK,,,,,08423366+1827290,,2018-05-24 15:19:56,0.910,0.090,0.670,,,,8,3,23,,,11,0.003
211887287,KTWO211887287-C05,5,STAR,31,130.6596300,18.5410880,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.720,0.080,15.210,0.106,14.785,0.104,18.186,JHK,,,,,08423831+1832279,,2019-03-07 17:27:33,0.852,0.148,0.770,7819.550,6078.811,4804.104,14,1,45,,,25,0.001
211887287,KTWO211887287-C18,18,STAR,27,130.6596300,18.5410880,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,,,,,,,,,,,,,,,,,,,,,15.720,0.080,15.210,0.106,14.785,0.104,18.186,JHK,,,,,08423831+1832279,,2018-10-17 17:58:47,1.000,0.000,0.633,,,,14,1,45,,,25,0.001
211953966,KTWO211953966-C05,5,STAR,31,130.6707450,19.5329150,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,-31.000,3.000,-14.000,3.000,,,22.436,0.191,,,,,20.612,0.022,19.082,0.011,17.398,0.007,16.502,0.008,15.002,0.043,14.553,0.052,14.094,0.060,18.362,gri,,,5037-301-2-0118-0198,,08424097+1931584,,2019-03-07 15:42:47,0.747,0.253,0.700,,,,14,1,45,,,25,0.005
211953966,KTWO211953966-C18,18,STAR,27,130.6707450,19.5329150,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-31.000,3.000,-14.000,3.000,,,22.436,0.191,,,,,20.612,0.022,19.082,0.011,17.398,0.007,16.502,0.008,15.002,0.043,14.553,0.052,14.094,0.060,18.362,gri,,,5037-301-2-0118-0198,,08424097+1931584,,2018-10-17 13:10:00,0.857,0.143,0.693,5497.276,4778.148,4319.114,14,1,45,,,25,0.005
212020360,KTWO212020360-C05,5,STAR,31,130.6891200,20.5926690,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-33.000,5.000,-14.000,5.000,,,23.286,0.342,,,,,20.660,0.022,19.142,0.011,17.450,0.007,16.484,0.009,14.906,0.041,14.346,0.057,14.130,0.067,18.413,gri,,,5037-301-4-0121-0356,,08424538+2035336,,2019-03-07 16:13:16,0.870,0.130,0.674,,,,14,4,48,,,25,0.006
212020360,KTWO212020360-C18,18,STAR,27,130.6891200,20.5926690,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-33.000,5.000,-14.000,5.000,,,23.286,0.342,,,,,20.660,0.022,19.142,0.011,17.450,0.007,16.484,0.009,14.906,0.041,14.346,0.057,14.130,0.067,18.413,gri,,,5037-301-4-0121-0356,,08424538+2035336,,2018-10-17 13:30:52,0.844,0.156,0.712,6989.404,6423.676,5084.556,14,4,48,,,25,0.006
212019252,KTWO212019252-C05,5,STAR,31,130.7019600,20.5734310,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5095_GO5106,-37.400,1.200,-12.500,1.400,,,,,13.349,0.060,12.417,0.040,12.857,0.040,12.121,0.060,11.839,0.070,,,10.793,0.023,10.360,0.021,10.262,0.018,12.144,gri,,,,553-044681,08424847+2034244,,2019-03-07 16:13:05,1.000,0.000,0.961,,,,14,4,48,,,25,0.002
212019252,KTWO212019252-C18,18,STAR,27,130.7019600,20.5734310,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18026_GO18039_GO18049_GO18062_GO18065_GO18068,-37.400,1.200,-12.500,1.400,,,,,13.349,0.060,12.417,0.040,12.857,0.040,12.121,0.060,11.839,0.070,,,10.793,0.023,10.360,0.021,10.262,0.018,12.144,gri,,,,553-044681,08424847+2034244,,2018-10-17 13:30:11,1.000,0.000,0.962,177.587,176.380,172.861,14,4,48,,,25,0.002
212004774,KTWO212004774-C05,5,STAR,31,130.7105100,20.3344350,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-33.000,4.000,-15.000,4.000,,,23.095,0.452,,,,,20.671,0.026,19.141,0.012,17.441,0.006,16.525,0.009,14.957,0.042,14.396,0.055,14.069,0.056,18.410,gri,,,5045-301-3-0132-0362,,08425052+2020039,,2019-03-07 16:05:56,0.833,0.167,0.457,9855.986,9095.084,8208.221,14,4,48,,,25,0.004
212004774,KTWO212004774-C18,18,STAR,27,130.7105100,20.3344350,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-33.000,4.000,-15.000,4.000,,,23.095,0.452,,,,,20.671,0.026,19.141,0.012,17.441,0.006,16.525,0.009,14.957,0.042,14.396,0.055,14.069,0.056,18.410,gri,,,5045-301-3-0132-0362,,08425052+2020039,,2018-10-17 13:25:27,0.537,0.463,0.517,,,,14,4,48,,,25,0.004
212016014,KTWO212016014-C05,5,STAR,31,130.7296950,20.5206790,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.548,0.062,14.937,0.086,14.569,0.083,18.083,JHK,,,,,08425512+2031144,,2019-03-07 14:45:05,0.934,0.066,0.445,,,,14,4,48,,,25,0.006
212016014,KTWO212016014-C18,18,STAR,27,130.7296950,20.5206790,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,,,,,,,,,,,,,,,,,,,,,15.548,0.062,14.937,0.086,14.569,0.083,18.083,JHK,,,,,08425512+2031144,,2018-10-17 13:29:18,1.000,0.000,0.592,,,,14,4,48,,,25,0.006
212066424,KTWO212066424-C05,5,STAR,31,130.7522850,21.3911510,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.012,0.045,14.374,0.067,14.067,0.058,17.498,JHK,,,,,08430054+2123281,,2019-03-07 16:20:46,1.000,0.000,0.773,3664.792,2922.976,2309.562,15,1,49,,,25,5.152e-4
212066424,KTWO212066424-C18,18,STAR,27,130.7522850,21.3911510,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,,,,,,,,,,,,,,,,,,,,,15.012,0.045,14.374,0.067,14.067,0.058,17.498,JHK,,,,,08430054+2123281,,2018-10-17 15:16:54,1.000,0.000,0.824,,,,15,1,49,,,25,5.152e-4
