K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211418176,KTWO211418176-C05,5,STAR,31,132.6168900,11.9140450,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5019_GO5031_GO5048,-9.200,1.600,-3.400,1.300,,,,,14.856,0.090,14.216,0.050,14.615,0.380,14.035,0.010,14.055,0.360,,,12.968,0.021,12.665,0.025,12.563,0.026,14.223,gri,,,5972-301-6-0116-0202,510-048374,08502805+1154505,,2019-03-07 19:22:16,1.000,0.000,0.918,,,,6,1,13,,,36,4.374e-4
211418176,KTWO211418176-C16,16,STAR,23,132.6168900,11.9140450,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16031_GO16064,-9.200,1.600,-3.400,1.300,,,,,14.856,0.090,14.216,0.050,14.615,0.380,14.035,0.010,14.055,0.360,,,12.968,0.021,12.665,0.025,12.563,0.026,14.223,gri,,,5972-301-6-0116-0202,510-048374,08502805+1154505,,2018-05-24 14:54:21,1.000,0.000,0.929,,,,15,4,52,,,36,4.374e-4
211418176,KTWO211418176-C18,18,STAR,27,132.6168900,11.9140450,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004_GO18011,-9.200,1.600,-3.400,1.300,,,,,14.856,0.090,14.216,0.050,14.615,0.380,14.035,0.010,14.055,0.360,,,12.968,0.021,12.665,0.025,12.563,0.026,14.223,gri,,,5972-301-6-0116-0202,510-048374,08502805+1154505,,2018-10-17 16:21:33,1.000,0.000,0.897,359.505,357.207,340.640,6,1,13,,,36,4.374e-4
211418370,KTWO211418370-C05,5,STAR,31,133.2299400,11.9168910,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-6.600,2.400,-3.900,2.400,,,,,17.602,0.130,16.498,0.080,16.932,0.069,16.090,0.077,15.585,0.113,,,14.529,0.040,14.047,0.043,13.845,0.044,15.989,gri,,,5972-301-6-0120-0145,510-048811,08525518+1155007,,2019-03-07 19:22:26,1.000,3.000e-4,0.810,822.443,663.708,550.945,6,2,14,,,36,0.002
211418370,KTWO211418370-C16,16,STAR,23,133.2299400,11.9168910,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16031_GO16064,-6.600,2.400,-3.900,2.400,,,,,17.602,0.130,16.498,0.080,16.932,0.069,16.090,0.077,15.585,0.113,,,14.529,0.040,14.047,0.043,13.845,0.044,15.989,gri,,,5972-301-6-0120-0145,510-048811,08525518+1155007,,2018-05-24 18:37:12,0.997,0.003,0.814,1191.404,1049.021,918.577,15,4,52,,,36,0.002
211418370,KTWO211418370-C18,18,STAR,27,133.2299400,11.9168910,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-6.600,2.400,-3.900,2.400,,,,,17.602,0.130,16.498,0.080,16.932,0.069,16.090,0.077,15.585,0.113,,,14.529,0.040,14.047,0.043,13.845,0.044,15.989,gri,,,5972-301-6-0120-0145,510-048811,08525518+1155007,,2018-10-17 16:21:34,0.998,0.002,0.770,802.314,645.529,524.705,6,2,14,,,36,0.002
211418464,KTWO211418464-C05,5,STAR,31,132.4390500,11.9184630,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-11.000,3.600,-1.900,3.600,,,,,,,,,,,,,,,,,14.654,0.032,14.186,0.036,13.934,0.050,16.450,JHK,,,5972-301-6-0115-0423,510-048314,08494537+1155064,,2019-03-07 19:22:26,0.993,0.007,0.790,,,,6,1,13,,,36,0.001
211418464,KTWO211418464-C16,16,STAR,23,132.4390500,11.9184630,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064,-11.000,3.600,-1.900,3.600,,,,,,,,,,,,,,,,,14.654,0.032,14.186,0.036,13.934,0.050,16.450,JHK,,,5972-301-6-0115-0423,510-048314,08494537+1155064,,2018-05-24 18:37:12,0.999,0.001,0.780,,,,15,4,52,,,36,0.001
211418464,KTWO211418464-C18,18,STAR,27,132.4390500,11.9184630,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-11.000,3.600,-1.900,3.600,,,,,,,,,,,,,,,,,14.654,0.032,14.186,0.036,13.934,0.050,16.450,JHK,,,5972-301-6-0115-0423,510-048314,08494537+1155064,,2018-10-17 16:21:34,0.992,0.009,0.655,879.039,738.169,590.540,6,1,13,,,36,0.001
211418682,KTWO211418682-C05,5,STAR,31,132.4379100,11.9217000,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-11.000,3.000,0.000,3.000,,,21.714,0.140,,,,,19.042,0.009,17.661,0.005,17.032,0.005,16.682,0.009,15.556,0.052,14.891,0.058,14.609,0.075,17.635,gri,,,5972-301-6-0115-0421,,08494509+1155181,,2019-03-07 19:22:26,0.991,0.009,0.688,,,,6,1,13,,,36,0.002
