Table 8
Solutions to Temperature Relations

Color	No. of	Range	a_0 +or- sigma	a_1 +or- sigma	a_2 +or- sigma	a_3 +or- sigma	sigma
Index	Points	(mag)	(%)
(R_K - K)	64	[0.06 - 3.43]	9683 +or- 21	-4479 +or- 39	1268 +or- 24	-147.8 +or- 4.7	3.6
(R_K - K)^c	59	[0.90 - 3.43]	8671 +or- 69	-2793 +or- 117	400 +or- 61	-8.9 +or- 10.1	2.9
(R_K - K)^d	61	[0.06 - 3.43]	9794 +or- 21	-4647 +or- 40	1347 +or- 25	-159.5 +or- 4.8	2.7
(R_K - K)^c,^d	57	[0.90 - 3.43]	8726 +or- 70	-2875 +or- 117	439 +or- 61	-14.7 +or- 10.2	2.4
(g - z)dagger	79	[-0.58 - 3.44]	7089 +or- 11	-2760 +or- 27	804 +or- 16	-95.2 +or- 3.0	3.2
(g - z)dagger^c	74	[0.04 - 3.44]	7131 +or- 14	-2863 +or- 36	863 +or- 21	-104.8 +or- 3.7	3.3
(g - i)dagger	79	[-0.43 - 2.78]	7279 +or- 13	-3356 +or- 37	1112 +or- 27	-153.9 +or- 5.9	3.2
(g - i)dagger^c	74	[0.09 - 2.78]	7325 +or- 18	-3484 +or- 49	1199 +or- 35	-171.0 +or- 7.4	3.3
(g - r)dagger	79	[-0.23 - 1.40]	7526 +or- 18	-5570 +or- 88	3750 +or- 136	-1332.9 +or- 61.5	3.2
(g - r)dagger^c	74	[0.09 - 1.40]	7671 +or- 31	-6275 +or- 155	4719 +or- 222	-1723.1 +or- 94.0	3.3
(g - J)dagger	79	[-0.02 - 5.06]	8576 +or- 28	-2710 +or- 35	548 +or- 12	-44.0 +or- 1.4	3.5
(g - J)dagger^c	74	[0.64 - 5.06]	8605 +or- 36	-2744 +or- 45	560 +or- 15	-45.2 +or- 1.7	3.5
(g - J)dagger^d	60	[-0.02 - 5.06]	8759 +or- 33	-2933 +or- 41	623 +or- 14	-51.5 +or- 1.6	2.7
(g - J)dagger^c,^d	57	[0.64 - 5.06]	8695 +or- 38	-2856 +or- 46	597 +or- 16	-48.9 +or- 1.7	2.6
(g - H)dagger	79	[-0.12 - 5.59]	8589 +or- 30	-2229 +or- 33	380 +or- 10	-27.5 +or- 1.1	2.9
(g - H)dagger^c	74	[0.88 - 5.59]	8774 +or- 44	-2419 +or- 46	437 +or- 14	-32.7 +or- 1.4	3.0
(g - H)dagger^d	53	[-0.12 - 5.59]	8744 +or- 46	-2396 +or- 48	432 +or- 14	-32.3 +or- 1.4	2.3
(g - H)dagger^c,^d	52	[0.88 - 5.59]	8745 +or- 47	-2397 +or- 49	433 +or- 15	-32.4 +or- 1.4	2.4
(g - K)dagger	79	[-0.01 - 5.86]	8526 +or- 30	-2084 +or- 31	337 +or- 9	-23.3 +or- 0.9	2.8
(g - K)dagger^c	74	[0.86 - 5.86]	8519 +or- 40	-2078 +or- 41	335 +or- 12	-23.2 +or- 1.2	2.7
(g - K)dagger^d	60	[-0.01 - 5.86]	8618 +or- 35	-2178 +or- 36	365 +or- 11	-25.8 +or- 1.1	2.5
(g - K)dagger^c,^d	57	[0.86 - 5.86]	8485 +or- 41	-2046 +or- 42	327 +or- 12	-22.5 +or- 1.2	2.3
(V - W3)	44	[0.76 - 5.50]	9046 +or- 98	-3005 +or- 103	602 +or- 30	-45.3 +or- 2.8	2.5
(V - W3)^c	43	[1.00 - 5.50]	9005 +or- 109	-2962 +or- 114	590 +or- 33	-44.3 +or- 3.0	2.5
(V - W4)	111	[0.03 - 5.62]	9008 +or- 20	-2881 +or- 23	565 +or- 8	-42.3 +or- 0.9	3.3
(V - W4)^c	100	[0.92 - 5.62]	8855 +or- 29	-2714 +or- 33	514 +or- 11	-37.5 +or- 1.1	2.8
(R_J - W4)	74	[0.03 - 3.56]	9055 +or- 24	-4658 +or- 52	1551 +or- 33	-199.8 +or- 6.3	3.6
(R_J - W4)^c	64	[0.58 - 3.56]	8694 +or- 42	-3964 +or- 85	1160 +or- 51	-133.4 +or- 9.2	2.5
(I_J - W4)	74	[0.04 - 2.13]	9140 +or- 28	-7347 +or- 93	3981 +or- 92	-873.1 +or- 27.7	4.7
(I_J - W4)^c	64	[0.40 - 2.13]	8541 +or- 48	-5594 +or- 151	2453 +or- 141	-465.5 +or- 40.4	3.1
(R_C - W4)	30	[0.20 - 4.38]	9015 +or- 31	-3833 +or- 45	1004 +or- 19	-98.5 +or- 2.4	3.1
(R_C - W4)^c	26	[0.76 - 4.38]	8853 +or- 51	-3620 +or- 71	924 +or- 28	-89.4 +or- 3.4	2.9
(I_C - W4)	30	[0.14 - 2.85]	8971 +or- 34	-5296 +or- 75	1997 +or- 48	-298.1 +or- 9.5	3.7
(I_C - W4)^c	26	[0.54 - 2.85]	8493 +or- 55	-4360 +or- 114	1466 +or- 69	-205.6 +or- 12.9	3.1
(R_K - W4)	52	[0.17 - 3.93]	9753 +or- 42	-4530 +or- 66	1271 +or- 31	-137.7 +or- 4.7	2.9
(R_K - W4)^c	48	[0.97 - 3.93]	9433 +or- 64	-4071 +or- 97	1072 +or- 44	-110.8 +or- 6.4	2.4
(I_K - W4)	52	[0.23 - 2.83]	10576 +or- 59	-7103 +or- 123	2887 +or- 79	-461.5 +or- 15.9	3.7
(I_K - W4)^c	52	[0.23 - 2.83]	10727 +or- 63	-7275 +or- 128	2943 +or- 81	-465.8 +or- 16.2	3.6
