EPIC,RAJ2000,DEJ2000,Mm
211046446,56.806369999999994,23.71431,0.9
211053549,56.806909999999995,23.8315,0.9
211132712,56.8137,25.11541,0.1
211029254,56.81406,23.435029999999998,0.9
211089146,56.81434,24.39197,0.9
211111473,56.8185,24.74731,0.9
211072160,56.819,24.128339999999998,0.9
211089068,56.82526,24.39077,0.9
211078690,56.825540000000004,24.23092,0.1
211131087,56.8368,25.08676,0.9
211024494,56.841730000000005,23.36019,0.9
211079188,56.84324,24.23859,0.9
211047718,56.84449,23.73527,0.9
210996662,56.84541,22.92212,0.9
211117529,56.84571999999999,24.84894,0.9
211011030,56.849380000000004,23.14919,0.9
211080295,56.85461,24.25481,0.9
211134185,56.85745,25.14251,0.9
211041526,56.86152,23.63407,0.9
211044267,56.86176999999999,23.67836,0.9
211030057,56.86714,23.44821,0.9
211107116,56.868430000000004,24.6759,0.9
211056628,56.87327,23.88046,0.9
211036595,56.874680000000005,23.55422,0.9
211087739,56.877469999999995,24.37055,0.9
210886447,56.8797,21.18096,0.9
211056099,56.88182,23.87205,0.9
211075014,56.883309999999994,24.173579999999998,0.9
211090001,56.8839,24.405160000000002,0.1
211021098,56.88409,23.30655,0.1
211045153,56.8894,23.6925,0.9
211107623,56.890319999999996,24.68422,0.9
210922592,56.892340000000004,21.74684,0.9
210989043,56.89491999999999,22.80135,0.9
211118985,56.8994,24.87415,0.9
211031682,56.900119999999994,23.47414,0.9
211090094,56.90688000000001,24.406470000000002,0.9
211031293,56.908359999999995,23.46805,0.9
211115713,56.908519999999996,24.81974,0.9
211119999,56.90865,24.89183,0.9
211093429,56.91396999999999,24.45893,0.9
211001714,56.91576,23.0013,0.9
211083317,56.91822,24.30193,0.9
211087357,56.918530000000004,24.36459,0.9
210997197,56.920730000000006,22.93001,0.9
211048014,56.921580000000006,23.740289999999998,0.9
211062662,56.92265,23.97194,0.9
211045643,56.93603,23.7009,0.9
211104535,56.941280000000006,24.63373,0.9
211138781,56.949380000000005,25.22625,0.9
211015308,56.95046,23.21814,0.9
211091536,56.9574,24.4287,0.9
211096432,56.96228000000001,24.50522,0.9
211043323,56.966469999999994,23.66339,0.9
211060621,56.968830000000004,23.94128,0.9
211001183,56.97026999999999,22.99279,0.9
211021827,56.98028000000001,23.31833,0.9
211080546,56.98596,24.25887,0.9
210945565,56.99175,22.1142,0.9
211101996,56.99737,24.5937,0.9
211110500,56.99889,24.73134,0.9
211027306,57.02072,23.40385,0.9
211003744,57.02425,23.03414,0.9
211056865,57.02443,23.88364,0.9
211064559,57.02766,24.001929999999998,0.9
211143504,57.031969999999994,25.31534,0.1
211047990,57.03317,23.73992,0.9
211045994,57.03726999999999,23.706529999999997,0.9
211063049,57.03839,23.97799,0.9
211001695,57.0424,23.00114,0.1
211063723,57.042390000000005,23.988979999999998,0.9
211033726,57.04577,23.50702,0.9
210860152,57.04755,20.77852,0.9
