RAJ2000,DEJ2000,probability_DANCe,EPIC
290.636163938,-17.6940464492,0.028619343329645,219022685.0
293.94868568,-16.966137884,,219348246.0
293.599734719,-18.1771544714,,218775652.0
293.297549762,-18.3069229684,,218707114.0
283.212935718,-15.1781666375,,
287.76306319,-15.9321890615,0.0353166129409782,219746828.0
286.982715274,-15.962041257,0.140745571039643,219736596.0
287.27174416,-16.1044405616,0.508342729902966,219686206.0
288.421954948,-16.1722697384,3.84083417902834e-83,219661601.0
287.947137911,-16.5468414736,0.432828312005594,219520438.0
288.850273144,-16.3644460553,8.58523776559643e-27,219590348.0
288.92787928,-16.551416532,0.231156824930473,219518666.0
289.190620045,-16.5896345155,0.00642342274542153,219503612.0
289.247546035,-16.5908667004,0.288504632676708,219503117.0
288.974044605,-16.7411714782,8.65482853141447e-13,219442294.0
288.852749251,-16.8562010223,2.33482148463769e-23,219394517.0
288.785838801,-16.9614884644,2.76344500080942e-19,219350257.0
289.28981244,-16.8316621679,0.000594183556526714,219404735.0
289.228232834,-17.0369260656,4.29113158258956e-196,219317665.0
289.146875847,-17.0854491949,6.08446302625506e-06,219296766.0
288.996360493,-17.1342517153,4.19601286367399e-17,219275512.0
289.201028786,-17.2732839167,0.583982442055999,219214374.0
288.313612116,-17.1057993408,0.444819645759478,219288101.0
287.175224943,-17.4308930087,0.00288357433015076,219143535.0
285.267457993,-18.5230431066,0.000810648103399377,218591606.0
286.471003957,-19.7564243513,,217904699.0
289.659176194,-17.0932230016,0.140451027892601,219293480.0
289.656119478,-17.215989689,1.52063223217099e-293,219239754.0
289.53911915,-17.8805394205,0.351787179164853,218933140.0
288.533476553,-18.0577113426,0.416702383119113,218838325.0
290.252281596,-17.8220596468,0.048962786826843,218962506.0
288.250270008,-18.6306414061,0.434751459456582,218533072.0
287.236091792,-19.7251866303,,217922156.0
291.372465424,-18.5835380356,0.400163369383116,218558797.0
291.770356986,-19.9543744994,,
286.600569936,-20.2182686027,,217641839.0
287.107206074,-20.0266985971,,217750833.0
287.268886721,-20.4104888094,,217531906.0
287.861526273,-20.4558661138,,217506168.0
287.830530634,-20.880395572,,
285.337589517,-21.0970380369,,217142384.0
287.829202669,-21.6861452103,,216809289.0
289.476527924,-14.2467765456,0.983162700806728,
287.278409116,-14.6328474665,0.840287472497719,220088372.0
287.885878508,-14.7048275211,0.988810863921456,220076965.0
289.091316739,-14.7952876076,0.944990114163218,220060789.0
291.022816306,-13.9975833529,0.714605832053568,
286.885698739,-16.5361365979,0.86430737277313,219524528.0
286.285623948,-17.2804830625,0.947983074644548,219211152.0
285.400050318,-17.6207057004,0.971439595407648,219056592.0
288.162953368,-18.1099034396,0.965904291477835,218810914.0
286.981497867,-19.2914890937,0.759875206051531,218166922.0
288.575242231,-18.4483279367,0.698920557829588,218631786.0
288.279819326,-18.4412208349,0.980046245938177,
288.665508177,-18.7047745354,0.755581518447839,218492267.0
288.435163011,-18.8263935101,0.856216907258577,218424807.0
288.719700942,-19.0173997077,0.905334209551261,218319383.0
288.656421182,-16.5334018444,0.0407824629093035,219525582.0
289.559985409,-16.6896241578,0.573890061106887,219463296.0
290.356256193,-15.3369138185,0.573085256760227,219932413.0
289.081905752,-16.5692943368,0.559253335162601,219511589.0
289.093384438,-17.8024685616,0.353689179284358,218971693.0
288.903830641,-17.4353234198,0.311671802400188,219141523.0
289.018836997,-16.0920219134,4.46662144141197e-07,219690673.0
289.155504183,-16.0014042725,0.642235809107042,219722781.0
289.094277352,-17.8046896349,0.473046457316352,218970657.0
