ampl_rec,amplitude,cstart,cstop,duration_d,ed_inj,ed_rec,ed_rec_err,istart,istop,peak_time,total_n_valid_data_points,tstart,tstop
0.024758107778829475,0.08236373883616163,140880,140885,0.02177317960720315,127.08458473396713,121.08999440347374,1.5882118490671684,2,7,2987.6263289508015,3643.0,2987.6219266116605,2987.7240874855343
0.15501973935531366,0.2856908812806067,142615,142628,0.014474113408742214,382.8321118501221,424.45158886819013,1.2319019589286602,1631,1643,3023.0874849595402,3643.0,3023.0711255886345,3023.3367362411664
,0.32886672677356965,,,0.009105250083123328,151.21062355268248,,,,,3065.9075750317925,,,
,0.23426733238895314,,,0.01192872919526908,187.34679045103283,,,,,3067.053301005801,,,
,0.312364470649094,,,0.026045564935592652,533.8328178162508,,,,,2987.8172010916237,,,
,0.48705840277551943,,,0.018106797513199196,814.7444910811942,,,,,3010.2563369702943,,,
,0.359441320896367,,,0.012087816108333762,516.510234969781,,,,,3065.2601137593483,,,
,0.44053367909101065,,,0.02223030169926046,984.5986513092689,,,,,3066.4659813648727,,,
,0.42127127044702656,,,0.02907218700669126,831.8339157635364,,,,,2987.833249108122,,,
,0.05611373517779333,,,0.017479959222199415,120.3599585463997,,,,,3058.5596581369264,,,
,0.020550395311088904,,,0.031100803776735086,2.9905374722276203,,,,,3065.94680273685,,,
,0.15995102624901258,,,0.012094872492775815,305.3730141071203,,,,,3066.7330301926395,,,
0.04076876030302734,0.16545150088701807,140902,140908,0.016086626174176007,126.23018255500467,130.9885627223236,1.3588517218091172,22,28,2988.0784388616726,3643.0,2988.071434018988,2988.1940268771286
,0.026483413607680487,,,0.009406033403521013,4.1904411640959545,,,,,3004.6764631400024,,,
,0.27889496375881917,,,0.012603415784588056,200.8478185590834,,,,,3065.375828202668,,,
,0.23755944237357188,,,0.0008486681608373377,9.970880489006164e-06,,,,,3067.199010898053,,,
0.15288092853200563,0.3866422446631314,140906,140909,0.024158296707064014,396.62442013302183,397.39462241566343,1.123463735152656,26,29,2988.162493510877,3643.0,2988.153162593102,2988.2144590182143
0.21111366042365276,0.4028971677456567,144817,144821,0.02933108091203217,621.2008433321276,617.1795993546248,1.245125428078375,3638,3642,3068.0734301857447,3643.0,3068.061663579945,3068.1433912958455
,0.23762063904927783,,,0.0253074985937828,536.5320117438433,,,,,3034.6526512264504,,,
,0.2545679716025513,,,0.022339849033106648,0.0,,,,,3065.957130614572,,,
,0.4721978622522328,,,0.0012665777913080977,9.527838763670438,,,,,2987.880087015639,,,
,0.24472173243361525,,,0.03248921348370386,607.3368719550283,,,,,3037.306550702797,,,
,0.11951422843113475,,,0.02216121978566677,218.17321445075763,,,,,3065.4404144602395,,,
,0.00800959544128023,,,0.006849509716156049,1.425287580797423,,,,,3066.8195672525735,,,
0.3022150967883819,0.33719985764107346,142775,142796,0.029120667049467235,970.0738012425115,1100.3476847981492,1.5778791643596912,1785,1805,3026.3409477178393,3643.0,3026.3401791302895,3026.769242284565
,0.1559263878879442,,,0.019399821650019557,341.14731018641817,,,,,2987.967227232108,,,
,0.17419664219138425,,,0.010672914009911464,25.70073960593493,,,,,3065.71729672435,,,
,0.10000008062220674,,,0.0009141796866302624,0.0022440281999191246,,,,,3067.7590637332332,,,
,0.17758949777600083,,,0.009125409348710504,78.3679953803844,,,,,2987.6118410572894,,,
,0.3631600630955585,,,0.022769408646285145,279.08704845282614,,,,,3037.041370552601,,,
,0.08381335444966304,,,0.006296637628899174,14.403371865440292,,,,,3065.1045546550404,,,
,0.4584266652286575,,,0.016469619127587303,628.6412210631895,,,,,3067.1565973224933,,,
,0.4543296273915656,,,0.020104587431268247,475.56476469238993,,,,,2988.143520411639,,,
,0.011862123968407481,,,0.011055612286546217,23.769656345170578,,,,,3008.340005744424,,,
,0.0575454530831196,,,0.00579397067593159,8.435737898168075,,,,,3065.594765507537,,,
,0.03341058304383638,,,0.029563233746706368,98.52742714049593,,,,,3066.8959823018386,,,
,0.3297735922704593,,,0.010627744261217325,594.598315628039,,,,,2987.968312000691,,,
,0.2064088156883609,,,0.008402761613959966,142.50811206057318,,,,,3053.345674351564,,,
,0.06662039668972185,,,0.009315980324098415,95.62061795772486,,,,,3065.707701264386,,,
,0.11870745060019103,,,0.01030397345610024,60.29360242424255,,,,,3066.2667872204825,,,
0.15282233038188076,0.4438311274890435,144783,144792,0.02076704572879215,548.986455185274,549.3962401710492,1.5242754788710535,3606,3614,3067.3760866465923,3643.0,3067.3669780458076,3067.550865296682
,0.1326494294529671,,,0.0019511604639123514,21.479837698065523,,,,,2988.148938342208,,,
,0.1811725852224065,,,0.015774540001751363,261.0725399217714,,,,,3043.35517083523,,,
,0.006874287830367813,,,0.016642034254870892,7.84907984936962,,,,,3065.5206963285614,,,
