,EPIC,todrop,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,elo_Ext_BPRP_Gaia,eup_Ext_BPRP_Gaia,Teff_StarHorse,e_Teff_StarHorse,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS,bayestar2019_ext,bayestar2019_ext_err,bayestar2019_flags
151,219403368.0,BP-RP outlier,KTWO219403368-C07,7.0,9.0,288.45075,-16.835051999999994,SC,-1.6,1.1,-27.6,1.1,,,,,10.234,0.033,9.316,0.02,10.408,0.44,9.312,0.31,8.657,0.03,,,7.631,0.02,7.171,0.023,7.0710000000000015,0.024,9.183,gri,,6296-68-1,,366-165380,19134817-1650059,AAA-111-111-000-0-0,0.998,0.002,1.0,,,,10.0,3.0,31.0,,,0.003,288.45075,-16.835051999999994,288.4507083000001,-16.8349722,191348171650059.0,0.9,288.450746175,-16.8350528363,0.56171385325146,219403368.0,0.3182775534772622,288.4507272375,-16.835012518150002,4.0878169731762376e+18,288.45074,-16.83517,0.9,0.5686376603128037,288.450730428125,-16.8350518886125,288.45074260802,-16.83516725625,4.0878169731762376e+18,1.0,0.4174385618218047,0.840428463312865,288.4507461752837,-16.8350528363158,0.001,0.001,90.0,4.0878169731762376e+18,288.45074260802,0.0431,-16.83516725625,0.0397,3.2311,0.0531,-0.7929999999999999,0.086,-26.575,0.07200000000000001,False,4527640.0,3020.25,9.048685,2081550.0,4328.41,9.555419,3424010.0,8840.77,8.425583,1.129836,41.98,0.23,3.0,4958.0,,0.2595666666666666,5.92,19.089000000000002,0.013518,19134817-1650059,288.45073199999996,-16.834991,0.06,0.06,90.0,7.6230730001771825,7.16631000010483,7.067974000067638,0.020917608565625204,0.023283965195171313,0.024113715309880917,AAA,111.0,0.0,2450952.7579,0.22819099999999998,8.779288450672869e+16,288.45075428,-16.83469022,0.001,0.001,90.0,1343750144.0,160.0,56013.2503125,1.0,11.0,,,24.0,,,114744.0,,,24.0,,,24.0,,,24.0,1.302491,0.2030153846153846,0.4633076923076923,,,0.0007240199161952866,0.002255353985026398,0.0027997504128570985,0.8702693333333335,0.3331809357301693,,,,,,,,,,,0.009999999776482582,0.007729919888079166,10
152,219403368.0,BP-RP outlier,KTWO219403368-C07,7.0,9.0,288.45075,-16.835051999999994,LC,-1.6,1.1,-27.6,1.1,,,,,10.234,0.033,9.316,0.02,10.408,0.44,9.312,0.31,8.657,0.03,,,7.631,0.02,7.171,0.023,7.0710000000000015,0.024,9.183,gri,,6296-68-1,,366-165380,19134817-1650059,AAA-111-111-000-0-0,0.998,0.002,1.0,190.695,178.66299999999995,164.73,10.0,3.0,31.0,,,0.003,288.45075,-16.835051999999994,288.4507083000001,-16.8349722,191348171650059.0,0.9,288.450746175,-16.8350528363,0.56171385325146,219403368.0,0.3182775534772622,288.4507272375,-16.835012518150002,4.0878169731762376e+18,288.45074,-16.83517,0.9,0.5686376603128037,288.450730428125,-16.8350518886125,288.45074260802,-16.83516725625,4.0878169731762376e+18,1.0,0.4174385618218047,0.840428463312865,288.4507461752837,-16.8350528363158,0.001,0.001,90.0,4.0878169731762376e+18,288.45074260802,0.0431,-16.83516725625,0.0397,3.2311,0.0531,-0.7929999999999999,0.086,-26.575,0.07200000000000001,False,4527640.0,3020.25,9.048685,2081550.0,4328.41,9.555419,3424010.0,8840.77,8.425583,1.129836,41.98,0.23,3.0,4958.0,,0.2595666666666666,5.92,19.089000000000002,0.013518,19134817-1650059,288.45073199999996,-16.834991,0.06,0.06,90.0,7.6230730001771825,7.16631000010483,7.067974000067638,0.020917608565625204,0.023283965195171313,0.024113715309880917,AAA,111.0,0.0,2450952.7579,0.22819099999999998,8.779288450672869e+16,288.45075428,-16.83469022,0.001,0.001,90.0,1343750144.0,160.0,56013.2503125,1.0,11.0,,,24.0,,,114744.0,,,24.0,,,24.0,,,24.0,1.302491,0.2030153846153846,0.4633076923076923,,,0.0007240199161952866,0.002255353985026398,0.0027997504128570985,0.8702693333333335,0.3331809357301693,,,,,,,,,,,0.009999999776482582,0.007729919888079166,10
153,219652181.0,BP-RP outlier,KTWO219652181-C07,7.0,9.0,289.20096,-16.197872,SC,0.4,1.5,-27.0,1.5,,,,,10.014,0.026,9.746,0.026,,,,,,,,,9.11,0.029,9.012,0.047,8.936,0.019,9.763,BV,,6296-1256-1,,370-168739,19164823-1611522,AAA-112-111-000-0-0,0.996,0.004,1.0,,,,10.0,4.0,32.0,,,0.002,289.20096,-16.197872,289.2009583,-16.197833300000006,191648231611522.0,0.9,,,,,,289.2009583,-16.197833300000006,,,,,,289.2009583,-16.197833300000006,,,,,,0.9,289.2009459094501,-16.197872020056,0.001,0.001,90.0,4.183946377129616e+18,289.20095421407996,0.0444,-16.19798098191,0.0466,2.6709,0.0608,1.8519999999999999,0.08900000000000001,-25.307,0.078,False,2614110.0,822.3689999999997,9.645058,1633910.0,3059.04,9.818316000000001,1405450.0,2787.94,9.392379,0.425937,,,0.0,7159.13,0.966,0.4473,2.46,14.276,0.048712,19164823-1611522,289.200963,-16.197861,0.06,0.06,90.0,9.038657003071158,8.969790001817048,8.908766001172364,0.032250485166432336,0.04773565170114836,0.019748721788441385,AAA,112.0,0.0,2451745.5772,0.040936,8.856289200789298e+16,289.20095418,-16.19797756,0.001,0.001,90.0,1141006336.0,136.0,52267.18166667,3.0,54.0,,,100.0,,,65636.0,,,100.0,,,100.0,,,98404.0,0.380548,0.2030153846153846,0.4633076923076923,,,0.0003415064332336269,0.0020308372199222035,0.0021516020609599062,-0.021362999999999965,0.33317467551016194,,,,,,,,,,,0.08999999612569809,0.017800000011920926,2
154,219652181.0,BP-RP outlier,KTWO219652181-C07,7.0,9.0,289.20096,-16.197872,LC,0.4,1.5,-27.0,1.5,,,,,10.014,0.026,9.746,0.026,,,,,,,,,9.11,0.029,9.012,0.047,8.936,0.019,9.763,BV,,6296-1256-1,,370-168739,19164823-1611522,AAA-112-111-000-0-0,0.996,0.004,1.0,,,,10.0,4.0,32.0,,,0.002,289.20096,-16.197872,289.2009583,-16.197833300000006,191648231611522.0,0.9,,,,,,289.2009583,-16.197833300000006,,,,,,289.2009583,-16.197833300000006,,,,,,0.9,289.2009459094501,-16.197872020056,0.001,0.001,90.0,4.183946377129616e+18,289.20095421407996,0.0444,-16.19798098191,0.0466,2.6709,0.0608,1.8519999999999999,0.08900000000000001,-25.307,0.078,False,2614110.0,822.3689999999997,9.645058,1633910.0,3059.04,9.818316000000001,1405450.0,2787.94,9.392379,0.425937,,,0.0,7159.13,0.966,0.4473,2.46,14.276,0.048712,19164823-1611522,289.200963,-16.197861,0.06,0.06,90.0,9.038657003071158,8.969790001817048,8.908766001172364,0.032250485166432336,0.04773565170114836,0.019748721788441385,AAA,112.0,0.0,2451745.5772,0.040936,8.856289200789298e+16,289.20095418,-16.19797756,0.001,0.001,90.0,1141006336.0,136.0,52267.18166667,3.0,54.0,,,100.0,,,65636.0,,,100.0,,,100.0,,,98404.0,0.380548,0.2030153846153846,0.4633076923076923,,,0.0003415064332336269,0.0020308372199222035,0.0021516020609599062,-0.021362999999999965,0.33317467551016194,,,,,,,,,,,0.08999999612569809,0.017800000011920926,2
155,219648746.0,BP-RP outlier,KTWO219648746-C07,7.0,9.0,289.23627,-16.207342999999998,SC,0.9,1.5,-26.8,1.6,,,,,10.380999999999998,0.032,9.797,0.029,,,,,,,,,8.588,0.048,8.271,0.029,8.218,0.033,9.695,BV,,6296-1453-1,,369-165954,19165670-1612265,AAA-111-111-000-0-0,0.937,0.063,1.0,,,,10.0,4.0,32.0,,,0.004,289.23627,-16.207342999999998,289.23625,-16.2073611,191656701612265.0,0.9,289.23625074,-16.2073389271,0.9519452107506228,219648746.0,0.0798634205559838,289.23625037,-16.207350013550002,4.183945694242628e+18,289.23625,-16.20746,0.9,0.3959532859184476,289.2362502775,-16.207377510162498,289.23624599923,-16.20745704198,4.183945694242628e+18,0.8,0.28669627102874445,0.8879863026876558,289.2362507404504,-16.2073389271481,0.006999999999999999,0.006,90.0,4.183945694242628e+18,289.23624599923,0.2268,-16.20745704198,0.2197,3.3977,0.2749,-1.057,0.447,-27.433000000000003,0.396,False,2759100.0,720.997,9.586447,1468890.0,2124.05,9.933916,1825970.0,3768.11,9.108189,0.825727,40.73,2.08,2.0,5585.8,,0.2595666666666666,3.3,9.573,0.068174,19165670-1612265,289.23625899999996,-16.207367,0.06,0.06,90.0,8.516657003071158,8.228790001817048,8.190766001172364,0.050096864908213884,0.030215947614630402,0.033451069781752225,AAA,111.0,0.0,2451745.5772,0.094398,8.855289236445125e+16,289.23631489,-16.20755249,0.10300000000000001,0.10300000000000001,90.0,268959744.0,32.0,56331.40744213,0.0,9.0,,,0.0,,,24.0,,,24.0,,,0.0,,,24.0,0.769964,0.2030153846153846,0.4633076923076923,,,0.0002836831878190365,0.0015688664308491516,0.0022382393650058345,0.5661603333333334,0.3331727506375515,,,,,,,,,,,0.08999999612569809,0.018092722892761225,10
156,219648746.0,BP-RP outlier,KTWO219648746-C07,7.0,9.0,289.23627,-16.207342999999998,LC,0.9,1.5,-26.8,1.6,,,,,10.380999999999998,0.032,9.797,0.029,,,,,,,,,8.588,0.048,8.271,0.029,8.218,0.033,9.695,BV,,6296-1453-1,,369-165954,19165670-1612265,AAA-111-111-000-0-0,0.937,0.063,1.0,,,,10.0,4.0,32.0,,,0.004,289.23627,-16.207342999999998,289.23625,-16.2073611,191656701612265.0,0.9,289.23625074,-16.2073389271,0.9519452107506228,219648746.0,0.0798634205559838,289.23625037,-16.207350013550002,4.183945694242628e+18,289.23625,-16.20746,0.9,0.3959532859184476,289.2362502775,-16.207377510162498,289.23624599923,-16.20745704198,4.183945694242628e+18,0.8,0.28669627102874445,0.8879863026876558,289.2362507404504,-16.2073389271481,0.006999999999999999,0.006,90.0,4.183945694242628e+18,289.23624599923,0.2268,-16.20745704198,0.2197,3.3977,0.2749,-1.057,0.447,-27.433000000000003,0.396,False,2759100.0,720.997,9.586447,1468890.0,2124.05,9.933916,1825970.0,3768.11,9.108189,0.825727,40.73,2.08,2.0,5585.8,,0.2595666666666666,3.3,9.573,0.068174,19165670-1612265,289.23625899999996,-16.207367,0.06,0.06,90.0,8.516657003071158,8.228790001817048,8.190766001172364,0.050096864908213884,0.030215947614630402,0.033451069781752225,AAA,111.0,0.0,2451745.5772,0.094398,8.855289236445125e+16,289.23631489,-16.20755249,0.10300000000000001,0.10300000000000001,90.0,268959744.0,32.0,56331.40744213,0.0,9.0,,,0.0,,,24.0,,,24.0,,,0.0,,,24.0,0.769964,0.2030153846153846,0.4633076923076923,,,0.0002836831878190365,0.0015688664308491516,0.0022382393650058345,0.5661603333333334,0.3331727506375515,,,,,,,,,,,0.08999999612569809,0.018092722892761225,10
157,219341906.0,BP-RP outlier,KTWO219341906-C07,7.0,9.0,289.89054,-16.980967,SC,-0.4,2.5,-26.2,2.6,,,,,10.484000000000002,0.049,9.854,0.039,10.255,0.03,9.821,0.04,9.517,0.06,,,8.682,0.024,8.404,0.033,8.326,0.02,9.738,gri,,6300-288-1,,366-167633,19193373-1658514,AAA-111-111-000-0-0,0.984,0.016,1.0,,,,10.0,1.0,29.0,,,0.001,289.89054,-16.980967,289.8905417,-16.9809444,191933731658514.0,0.9,,,,,,289.8905417,-16.9809444,,,,,,289.8905417,-16.9809444,,,,,,0.9,289.8905390026692,-16.9809773648732,0.001,0.001,90.0,4.180839161574393e+18,289.89053672525,0.0387,-16.9810803154,0.0361,3.286,0.0498,-0.506,0.075,-23.910999999999998,0.062,False,2340850.0,1073.67,9.764930999999999,1232070.0,1597.95,10.124799000000001,1565280.0,2080.43,9.275438000000001,0.84936,40.45,0.36,4.0,5638.81,,0.2595666666666666,3.08,8.645,0.037471,19193373-1658514,289.890554,-16.980949,0.06,0.06,0.0,8.650292848230526,8.385240501854568,8.313896323797852,0.024878607569380325,0.03322698999644819,0.020155842231290015,AAA,111.0,0.0,2451319.8333,0.080762,8.762289890494298e+16,289.8905369,-16.981077,0.001,0.001,90.0,268959744.0,32.0,51995.38331019,0.0,22.0,,,88.0,,,80.0,,,88.0,,,88.0,,,88.0,0.396144,0.2030153846153846,0.4633076923076923,,,0.0004978768967023871,0.00140724800968998,0.0014421051857164335,0.5897933333333334,0.33316763156763385,,,,,,,,,,,0.03999892994761467,0.008267001658678053,10
158,219341906.0,BP-RP outlier,KTWO219341906-C07,7.0,9.0,289.89054,-16.980967,LC,-0.4,2.5,-26.2,2.6,,,,,10.484000000000002,0.049,9.854,0.039,10.255,0.03,9.821,0.04,9.517,0.06,,,8.682,0.024,8.404,0.033,8.326,0.02,9.738,gri,,6300-288-1,,366-167633,19193373-1658514,AAA-111-111-000-0-0,0.984,0.016,1.0,113.679,92.272,88.538,10.0,1.0,29.0,,,0.001,289.89054,-16.980967,289.8905417,-16.9809444,191933731658514.0,0.9,,,,,,289.8905417,-16.9809444,,,,,,289.8905417,-16.9809444,,,,,,0.9,289.8905390026692,-16.9809773648732,0.001,0.001,90.0,4.180839161574393e+18,289.89053672525,0.0387,-16.9810803154,0.0361,3.286,0.0498,-0.506,0.075,-23.910999999999998,0.062,False,2340850.0,1073.67,9.764930999999999,1232070.0,1597.95,10.124799000000001,1565280.0,2080.43,9.275438000000001,0.84936,40.45,0.36,4.0,5638.81,,0.2595666666666666,3.08,8.645,0.037471,19193373-1658514,289.890554,-16.980949,0.06,0.06,0.0,8.650292848230526,8.385240501854568,8.313896323797852,0.024878607569380325,0.03322698999644819,0.020155842231290015,AAA,111.0,0.0,2451319.8333,0.080762,8.762289890494298e+16,289.8905369,-16.981077,0.001,0.001,90.0,268959744.0,32.0,51995.38331019,0.0,22.0,,,88.0,,,80.0,,,88.0,,,88.0,,,88.0,0.396144,0.2030153846153846,0.4633076923076923,,,0.0004978768967023871,0.00140724800968998,0.0014421051857164335,0.5897933333333334,0.33316763156763385,,,,,,,,,,,0.03999892994761467,0.008267001658678053,10
159,219655998.0,BP-RP outlier,KTWO219655998-C07,7.0,9.0,289.03605,-16.18745,SC,-0.1,1.5,-28.6,1.7,,,,,10.615,0.04,9.942,0.03,10.345,0.03,9.72,0.04,9.51,0.06,,,8.626,0.02,8.372,0.044,8.297,0.027000000000000003,9.761,gri,,6296-1148-1,,370-168454,19160865-1611148,AAA-111-111-000-0-0,0.996,0.004,1.0,,,,10.0,4.0,32.0,,,0.003,289.03605,-16.18745,289.0360417,-16.1874444,191608651611148.0,0.9,289.03604506,-16.1874502032,0.86740057593402,219655998.0,0.02390392337552856,289.03604338,-16.187447301600002,4.1841289347281306e+18,289.03604,-16.18756,0.9,0.4058824923876123,289.0360425350001,-16.18747547620001,289.03604223403,-16.187562975320002,4.1841289347281306e+18,1.0,0.31499855061589005,0.9168501439835052,289.0360450596174,-16.1874502031574,0.001,0.001,90.0,4.1841289347281306e+18,289.03604223403,0.037000000000000005,-16.187562975320002,0.0366,3.1451,0.0473,-0.63,0.073,-26.191999999999997,0.059000000000000004,False,2365900.0,728.1669999999997,9.753375,1226540.0,1449.06,10.129682,1609570.0,2521.82,9.245146,0.8845360000000001,41.99,1.63,5.0,5499.25,,0.2595666666666666,3.42,9.658999999999999,0.017096,19160865-1611148,289.036063,-16.187456,0.06,0.06,90.0,8.594292000708728,8.35324000041932,8.284896000270546,0.02695651232023623,0.04528073013024858,0.02786754496525504,AAA,111.0,0.0,2451319.7893,0.049866,8.857289036221526e+16,289.03604239,-16.18755958,0.001,0.001,90.0,1409359872.0,168.0,51319.28929398,2.0,28.0,,,114788.0,,,68.0,,,68.0,,,68.0,,,114788.0,0.395364,0.2030153846153846,0.4633076923076923,,,0.00033411202357410997,0.0012819543376241089,0.0016997636549616,0.6249693333333335,0.33316834080306257,,,,,,,,,,,0.03999999910593033,0.022799999490380286,10
160,219655998.0,BP-RP outlier,KTWO219655998-C07,7.0,9.0,289.03605,-16.18745,LC,-0.1,1.5,-28.6,1.7,,,,,10.615,0.04,9.942,0.03,10.345,0.03,9.72,0.04,9.51,0.06,,,8.626,0.02,8.372,0.044,8.297,0.027000000000000003,9.761,gri,,6296-1148-1,,370-168454,19160865-1611148,AAA-111-111-000-0-0,0.996,0.004,1.0,,,,10.0,4.0,32.0,,,0.003,289.03605,-16.18745,289.0360417,-16.1874444,191608651611148.0,0.9,289.03604506,-16.1874502032,0.86740057593402,219655998.0,0.02390392337552856,289.03604338,-16.187447301600002,4.1841289347281306e+18,289.03604,-16.18756,0.9,0.4058824923876123,289.0360425350001,-16.18747547620001,289.03604223403,-16.187562975320002,4.1841289347281306e+18,1.0,0.31499855061589005,0.9168501439835052,289.0360450596174,-16.1874502031574,0.001,0.001,90.0,4.1841289347281306e+18,289.03604223403,0.037000000000000005,-16.187562975320002,0.0366,3.1451,0.0473,-0.63,0.073,-26.191999999999997,0.059000000000000004,False,2365900.0,728.1669999999997,9.753375,1226540.0,1449.06,10.129682,1609570.0,2521.82,9.245146,0.8845360000000001,41.99,1.63,5.0,5499.25,,0.2595666666666666,3.42,9.658999999999999,0.017096,19160865-1611148,289.036063,-16.187456,0.06,0.06,90.0,8.594292000708728,8.35324000041932,8.284896000270546,0.02695651232023623,0.04528073013024858,0.02786754496525504,AAA,111.0,0.0,2451319.7893,0.049866,8.857289036221526e+16,289.03604239,-16.18755958,0.001,0.001,90.0,1409359872.0,168.0,51319.28929398,2.0,28.0,,,114788.0,,,68.0,,,68.0,,,68.0,,,114788.0,0.395364,0.2030153846153846,0.4633076923076923,,,0.00033411202357410997,0.0012819543376241089,0.0016997636549616,0.6249693333333335,0.33316834080306257,,,,,,,,,,,0.03999999910593033,0.022799999490380286,10
161,219437560.0,BP-RP outlier,KTWO219437560-C07,7.0,9.0,288.34254,-16.752713,SC,-4.5,1.4,-27.2,1.4,,,,,10.565,0.038,9.975,0.032,10.583,0.32,9.802,0.11,9.567,0.07,,,8.737,0.019,8.482999999999999,0.038,8.367,0.022,9.872,gri,,6296-195-1,,367-161180,19132220-1645096,AAA-112-111-000-0-0,0.989,0.011,1.0,,,,10.0,3.0,31.0,,,0.003,288.34254,-16.752713,288.3425,-16.7526667,191322201645096.0,0.9,,,,,,288.3425,-16.7526667,,,,,,288.3425,-16.7526667,,,,,,0.9,288.3425645058779,-16.7527124183516,0.001,0.001,90.0,4.088006054816933e+18,288.34254283576,0.0473,-16.75282289393,0.049,3.7238,0.067,-4.819,0.094,-25.659000000000002,0.078,False,2312460.0,782.0989999999997,9.77818,1226930.0,1361.28,10.129339,1539850.0,2069.5,9.293221,0.836118,43.11,0.16,2.0,5661.2,,0.2595666666666666,2.68,6.638999999999999,0.084503,19132220-1645096,288.342534,-16.752678,0.06,0.06,90.0,8.733182053467212,8.48074111653352,8.36554256260777,0.02011480761324461,0.038200314473473405,0.022143942862315982,AAA,112.0,0.0,2450952.7579,0.127686,8.789288342839672e+16,288.34296674,-16.75307676,0.019,0.019,90.0,268513280.0,32.0,55816.26422454,0.0,22.0,,,16.0,,,24.0,,,24.0,,,24.0,,,24.0,1.969493,0.2030153846153846,0.4633076923076923,,,0.0003671456526696921,0.0012039575775111212,0.0014582086126167363,0.5765513333333334,0.33316690501348645,,,,,,,,,,,0.00481638265773654,0.008330320371314884,10
162,219437560.0,BP-RP outlier,KTWO219437560-C07,7.0,9.0,288.34254,-16.752713,LC,-4.5,1.4,-27.2,1.4,,,,,10.565,0.038,9.975,0.032,10.583,0.32,9.802,0.11,9.567,0.07,,,8.737,0.019,8.482999999999999,0.038,8.367,0.022,9.872,gri,,6296-195-1,,367-161180,19132220-1645096,AAA-112-111-000-0-0,0.989,0.011,1.0,98.971,78.521,62.857,10.0,3.0,31.0,,,0.003,288.34254,-16.752713,288.3425,-16.7526667,191322201645096.0,0.9,,,,,,288.3425,-16.7526667,,,,,,288.3425,-16.7526667,,,,,,0.9,288.3425645058779,-16.7527124183516,0.001,0.001,90.0,4.088006054816933e+18,288.34254283576,0.0473,-16.75282289393,0.049,3.7238,0.067,-4.819,0.094,-25.659000000000002,0.078,False,2312460.0,782.0989999999997,9.77818,1226930.0,1361.28,10.129339,1539850.0,2069.5,9.293221,0.836118,43.11,0.16,2.0,5661.2,,0.2595666666666666,2.68,6.638999999999999,0.084503,19132220-1645096,288.342534,-16.752678,0.06,0.06,90.0,8.733182053467212,8.48074111653352,8.36554256260777,0.02011480761324461,0.038200314473473405,0.022143942862315982,AAA,112.0,0.0,2450952.7579,0.127686,8.789288342839672e+16,288.34296674,-16.75307676,0.019,0.019,90.0,268513280.0,32.0,55816.26422454,0.0,22.0,,,16.0,,,24.0,,,24.0,,,24.0,,,24.0,1.969493,0.2030153846153846,0.4633076923076923,,,0.0003671456526696921,0.0012039575775111212,0.0014582086126167363,0.5765513333333334,0.33316690501348645,,,,,,,,,,,0.00481638265773654,0.008330320371314884,10
163,219515762.0,BP-RP outlier,KTWO219515762-C07,7.0,9.0,289.369395,-16.558701,SC,0.0,1.8,-26.5,1.8,,,,,10.624,0.041,10.16,0.039,10.369000000000002,0.03,10.012,0.04,9.839,0.16,,,9.115,0.024,8.967,0.022,8.902999999999997,0.019,9.998,gri,,6296-1764-1,,368-170489,19172865-1633313,AAA-122-111-000-0-0,0.969,0.031,1.0,,,,10.0,4.0,32.0,,,0.0006724,289.369395,-16.558701,289.369375,-16.5586944,191728651633313.0,0.9,,,,,,289.369375,-16.5586944,,,,,,289.369375,-16.5586944,,,,,,0.9,289.3693885910095,-16.5586918631372,0.001,0.001,90.0,4.183915388953024e+18,289.36938817541,0.0433,-16.55882023843,0.0411,3.1734,0.0483,-0.09300000000000001,0.087,-29.816,0.075,False,1907820.0,951.579,9.987021,1088410.0,1250.19,10.259405000000001,1169940.0,2523.67,9.591508000000001,0.6678970000000001,43.6,1.42,3.0,6148.2,,0.2595666666666666,2.39,7.3660000000000005,0.039636000000000005,19172865-1633313,289.369391,-16.558714000000002,0.06,0.06,90.0,9.03573000472486,8.920100002795458,8.872740001803633,0.026566355196044687,0.02300926329747679,0.01949128794026098,AAA,122.0,0.0,2451319.806,0.048793,8.812289369325955e+16,289.36939148,-16.55871185,0.0,0.0,90.0,268959744.0,32.0,52010.00837963,0.0,18.0,,,88.0,,,88.0,,,88.0,,,88.0,,,88.0,0.040905000000000004,0.2030153846153846,0.4633076923076923,,,0.0005414065256974315,0.0012464030784017856,0.00233951217130472,0.40833033333333346,0.3331720839864779,,,,,,,,,,,0.09999999403953552,0.014370780289173123,10
164,219515762.0,BP-RP outlier,KTWO219515762-C07,7.0,9.0,289.369395,-16.558701,LC,0.0,1.8,-26.5,1.8,,,,,10.624,0.041,10.16,0.039,10.369000000000002,0.03,10.012,0.04,9.839,0.16,,,9.115,0.024,8.967,0.022,8.902999999999997,0.019,9.998,gri,,6296-1764-1,,368-170489,19172865-1633313,AAA-122-111-000-0-0,0.969,0.031,1.0,123.549,103.247,95.304,10.0,4.0,32.0,,,0.0006724,289.369395,-16.558701,289.369375,-16.5586944,191728651633313.0,0.9,,,,,,289.369375,-16.5586944,,,,,,289.369375,-16.5586944,,,,,,0.9,289.3693885910095,-16.5586918631372,0.001,0.001,90.0,4.183915388953024e+18,289.36938817541,0.0433,-16.55882023843,0.0411,3.1734,0.0483,-0.09300000000000001,0.087,-29.816,0.075,False,1907820.0,951.579,9.987021,1088410.0,1250.19,10.259405000000001,1169940.0,2523.67,9.591508000000001,0.6678970000000001,43.6,1.42,3.0,6148.2,,0.2595666666666666,2.39,7.3660000000000005,0.039636000000000005,19172865-1633313,289.369391,-16.558714000000002,0.06,0.06,90.0,9.03573000472486,8.920100002795458,8.872740001803633,0.026566355196044687,0.02300926329747679,0.01949128794026098,AAA,122.0,0.0,2451319.806,0.048793,8.812289369325955e+16,289.36939148,-16.55871185,0.0,0.0,90.0,268959744.0,32.0,52010.00837963,0.0,18.0,,,88.0,,,88.0,,,88.0,,,88.0,,,88.0,0.040905000000000004,0.2030153846153846,0.4633076923076923,,,0.0005414065256974315,0.0012464030784017856,0.00233951217130472,0.40833033333333346,0.3331720839864779,,,,,,,,,,,0.09999999403953552,0.014370780289173123,10
