EPIC,Channel,Campaign
210909746,47,4
210979401,48,4
210785062,68,4
210901240,47,4
210984874,27,4
210837411,68,4
210864935,68,4
210791550,42,4
210971338,69,4
211154974,31,4
210870456,23,4
211109268,29,4
211087650,52,4
210997213,27,4
211129400,52,4
211141637,31,4
210979798,71,4
211198161,32,4
210817106,66,4
210776306,66,4
211059054,72,4
211089068,52,4
211113202,52,4
210961514,27,4
210947847,48,4
211142694,31,4
210993319,50,4
210883020,26,4
210934029,25,4
211114985,29,4
211069596,52,4
210910007,48,4
210904018,26,4
210892842,47,4
211082436,52,4
211100869,29,4
210968957,71,4
211043624,51,4
211140995,32,4
210854098,65,4
210832294,22,4
211108129,29,4
210810145,22,4
211015806,27,4
210964780,48,4
211074888,51,4
211010517,28,4
211043259,49,4
211106969,52,4
210943453,70,4
211153286,31,4
211101564,52,4
211027393,50,4
211065494,51,4
211059979,51,4
211087059,30,4
210736056,67,4
210998086,28,4
211005924,50,4
211053549,49,4
211063235,51,4
210713788,43,4
211133821,52,4
211115638,52,4
211119678,52,4
210863662,23,4
211099297,30,4
211084620,30,4
211078690,52,4
211109574,31,4
211126627,52,4
211147023,31,4
210720772,41,4
210811598,22,4
210924735,48,4
210877423,45,4
