        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
20.3623,17.2631,57.1893,18.2366,19.0187,18.272289999999998,11.564834,-1.7813,5.5573,15.287,15.829,   14.991  0000278,132.59232
16.0325,14.9534,96.2306,15.034,15.303,15.15898,11.56499,-5.044,-2.9806,13.464,13.835999999999999,   13.374  0000280,132.48752
17.4354,14.7032,0.0,15.4815,16.1455,15.5026,11.564859,-2.2593,-16.6758,12.689,13.352,   12.512  0000282,132.44853999999998
14.9156,13.7084,0.0,13.8604,14.112,13.9814,11.566935,8.0682,1.894,12.203,12.627,   12.121  0000285,132.7577
20.7381,17.021,82.7229,18.2761,18.9384,18.164279999999998,11.567349,-1.0325,2.4197,14.84,15.542,   14.842  0000288,132.7804
21.1507,16.4895,1.2276,18.4996,19.6561,18.074189999999998,11.570742,20.6322,-5.5955,14.294,14.857999999999999,   14.026  0000299,132.65007
18.3467,17.2625,1.4996,17.3903,17.6718,21.220229999999997,11.572633,11.8413,-2.9466,15.585,16.135,   15.543  0000306,132.67621
14.2938,13.5649,98.7187,13.6084,13.7211,13.76251,11.572526,0.8017,0.8623,12.341,12.603,   12.275  0000307,132.64081000000002
20.3432,17.3023,83.5143,18.3102,19.1652,18.30047,11.572348,-2.3529,3.3071,15.142999999999999,15.845999999999998,   14.875  0000308,132.6145
15.2031,13.9773,0.0,14.1211,14.4631,14.24482,11.572258999999999,-3.723,-18.6103,12.394,12.824000000000002,   12.316  0000309,132.59374
18.2005,16.0212,98.127,16.4944,17.0396,16.63815,11.574269000000001,0.3017,0.2483,14.205,14.85,   14.064  0000310,132.9097
-99.999,17.516,67.2758,18.9018,19.5044,18.77293,11.574549000000001,-3.1784,5.4953,15.548,16.01,   15.107  0000313,132.87308000000002
20.9889,17.547,73.8369,18.6444,19.457,18.56081,11.574,-3.2685,0.4754,15.494000000000002,16.058,   15.138  0000315,132.67969
15.3914,14.3664,99.0082,14.4923,14.6879,14.600970000000002,11.575557,0.8767,0.1454,13.097000000000001,13.437999999999999,   13.029  0000316,132.89779
17.336,15.719,97.948,16.0043,16.371,16.08491,11.574481,1.0527,0.5915,13.975,14.505,   13.901  0000317,132.645
20.6272,17.4067,65.9693,18.4759,19.3397,18.45584,11.576402,2.8181,2.9086,15.482000000000001,15.982000000000001,   15.087  0000318,132.86746000000002
17.9292,15.2837,7.6263,16.0547,16.6113,16.08163,11.574199,4.1392,-9.0876,13.325999999999999,14.032,   13.160  0000319,132.411
18.5929,17.6528,35.8098,17.7131,18.0297,17.87442,11.577435000000001,6.5711,-1.8861,15.624,16.491,   16.132  0000322,132.87418
14.9759,13.2087,0.0,13.5749,13.9172,13.663070000000001,11.579266,11.8386,-1.0305,11.345,11.933,   11.229  0000328,132.94964
16.4784,16.0094,15.2355,15.8989,16.0193,16.02552,11.578571,5.7952,0.6313,14.997,15.062999999999999,   14.860  0000330,132.77324
