C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:51:46

 IdentList
----------

 # 	  typed ident  	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)      
---	---------------	-------------------------	---	-----------------------------------------	-----------------------------------
57 	TYC 1837-270-1 	HD 283704                	PM*	IR,X,*,*,*iC,PM*,UV                      	067.3781908554292 +26.6715477232898
58 	TYC 1273-428-1 	HD 28593                 	PM*	*,*,*iC,PM*,IR                           	067.8153927552276 +20.1331693447876
59 	TYC 1273-583-1 	HD 28483                 	PM*	*,*,*iC,PM*,IR,UV                        	067.5749071458297 +19.8405314669437
60 	TYC 1815-517-1 	HD 26736                 	BY*	*,*,*iC,PM*,V*,BY*,IR,X                  	063.6346432161142 +23.5749438938167
61 	TYC 44-1162-1  	HD 14127                 	PM*	*,PM*,IR                                 	034.3323257867318 +05.3607418834902
62 	TYC 106-892-1  	BD+04 810                	PM*	*,*,*iC,PM*,IR                           	075.2036937039901 +04.7331117920816
63 	TYC 666-35-1   	HD 286572                	PM*	*,*,PM*,PM*,IR                           	062.4556211460956 +09.3054923379672
64 	TYC 90-33-1    	HD 28736                 	PM*	*,*,*iC,PM*,IR,UV,X                      	068.0200343302470 +05.4100419156541
65 	TYC 88-1355-1  	StKM 1-512               	PM*	*,*,*iC,PM*,IR                           	071.5783067030921 +03.6363367093600
66 	TYC 671-211-1  	HD 26784                 	PM*	*,*,*iC,PM*,IR,X                         	063.6430866674300 +10.7013876578677
67 	TYC 675-351-1  	V* V1309 Tau             	BY*	*,*,*iC,PM*,V*,BY*,IR,X                  	063.6135606314361 +12.4353146454602
68 	TYC 71-1173-1  	LP 533-57                	PM*	*,*,PM*,IR                               	057.0494313848973 +07.1462435412158
69 	TYC 78-1147-1  	HD 27935                 	SB*	SB*,SB*,*,*,*iC,IR                       	066.1801066787564 +04.6999553472461
70 	TYC 1265-763-1 	HD 28568                 	PM*	*,*,*iC,PM*,IR,UV,X,**,PM*               	067.6949915753106 +16.1486826033870
71 	TYC 1269-557-1 	HD 28406                 	PM*	*,*,*iC,PM*,V*,IR,UV,X,**                	067.3764605570194 +17.8631654092298
72 	TYC 1266-278-1 	HD 28992                 	BY*	*,*,*iC,PM*,V*,BY*,IR,UV,X               	068.6471257337145 +15.5046231937428
73 	TYC 681-829-1  	HD 28635                 	SB*	SB*,*,*,*iC,PM*,IR,X                     	067.8722683432648 +13.9034229407318
74 	TYC 690-945-1  	HD 286929                	PM*	*,*,*iC,PM*,IR                           	069.9623858079281 +12.7284782958121
75 	TYC 1269-1152-1	HD 27859                 	BY*	**,*,*,*iC,PM*,V*,BY*,IR,X               	066.1180301552738 +16.8861672985568
76 	TYC 1266-1214-1	HD 29225                 	PM*	*,*,*iC,PM*,IR,UV,X                      	069.1696581261984 +15.8693548759734
77 	TYC 676-62-1   	HD 28237                 	PM*	*,*,*iC,PM*,IR,UV,X                      	066.9419773432638 +11.7364189906505
78 	TYC 1264-902-1 	V* V989 Tau              	BY*	*,*,*iC,PM*,V*,BY*,IR,X                  	065.8553344626266 +15.7631243416933
79 	TYC 674-79-1   	HD 286554                	PM*	*,*,*iC,PM*,IR                           	062.1111140480638 +12.1918462564674
80 	TYC 680-423-1  	HD 28258                 	PM*	*,*,*iC,PM*,IR                           	067.0184733675200 +13.8679392159841
81 	TYC 1267-1102-1	HD 30246                 	PM*	**,*,*,*iC,PM*,IR                        	071.6266101083283 +15.4720413450286
82 	TYC 680-27-1   	HD 27483                 	WD*	**,SB*,SB*,*,*,*iC,WD*,PM*,IR,UV,X       	065.2196680317327 +13.8644272665623
83 	TYC 680-889-1  	HD 286734                	PM*	*,*,*iC,PM*,IR                           	065.9767187733762 +14.0521043360988
84 	TYC 1265-1048-1	V* V993 Tau              	BY*	*,*,*iC,PM*,V*,BY*,IR,UV,X               	066.8995474445720 +15.5891923902785
85 	TYC 662-633-1  	HD 25102                 	PM*	*,*,*iC,PM*,IR,UV,X                      	059.9187359563091 +10.3303518462933
86 	TYC 1251-128-1 	* 48 Tau                 	El*	**,El*,*,*,*iC,PM*,V*,IR,UV              	063.9428517196271 +15.4006962198639
87 	TYC 1264-498-1 	HD 285690                	BY*	**,*,*,*iC,V*,BY*,IR                     	064.5802980168333 +16.0883313214647
88 	TYC 1264-758-1 	HD 27685                 	SB*	SB*,*,*,*iC,PM*,IR,X                     	065.6863335005750 +16.7908773751687
89 	TYC 1269-806-1 	HD 27848                 	PM*	*,*,*iC,PM*,IR,UV,X                      	066.0928056803697 +17.0789554725408
90 	TYC 680-995-1  	* 60 Tau                 	dS*	**,SB*,*,*,*iC,PM*,V*,V*,dS*,IR,UV,X     	065.5146589729297 +14.0771992283218
91 	TYC 680-104-1  	HD 285830                	PM*	*,*,*iC,PM*,IR,X                         	066.9459806263297 +14.4177499228323
92 	TYC 121-432-1  	HD 40512                 	*  	*,IR                                     	089.8746847659257 +02.4761592916098
93 	TYC 1269-697-1 	HD 285773                	BY*	**,*,*,*iC,PM*,V*,BY*,IR,X               	067.3816929954995 +17.8931836328543
