HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod
20890.0,1273-711-1,48061405596787712,0.1923,0.9788,39.22,1.003,5.0,21.081999999999997,0.17600000000000002
20130.0,1272-325-1,49005576847854080,0.2806,0.9636,38.89,1.002,5.0,21.616999999999997,0.168
19504.0,1255-312-1,46975431705914112,0.1056,0.9912,37.1,1.044,5.0,21.805,0.17600000000000002
19148.0,1250-686-1,45367052352895360,0.45399999999999996,0.9289,37.607,1.014,5.0,21.069000000000003,0.15
20146.0,1268-352-1,47345005052090880,0.1627,0.9834,38.146,1.003,5.0,21.399,0.16399999999999998
20350.0,1268-295-1,47541096078933376,1.0259,0.795,41.2,2.4,5.0,21.405,0.205
13976.0,641-305-1,8479090076267264,0.7785,0.8546,28.75,1.016,5.0,42.528,0.19699999999999998
15563.0,649-5-1,11037722353344384,0.0946,0.9925,30.85,1.033,5.0,31.693,0.16699999999999998
19207.0,1250-4-1,45159897490770816,0.465,0.9265,38.055,1.026,5.0,22.119,0.165
19261.0,1250-74-1,45142202225515008,0.2625,0.9669,38.146,1.033,5.0,22.749000000000002,0.20199999999999999
20019.0,1268-6-1,45789299177700352,0.1072,0.991,37.569,1.008,5.0,21.656999999999996,0.166
19082.0,1258-652-1,50298121485861120,0.1634,0.9833,37.409,1.024,5.0,21.316,0.171
18322.0,662-171-1,38354676428572288,0.1451,0.9859,36.303000000000004,1.024,5.0,21.705,0.149
17962.0,1252-212-1,43789768566924416,1.1904,0.7553,40.0,5.0,5.0,20.51,0.16399999999999998
19263.0,1250-414-1,45567507066546048,0.2113,0.9757,37.854,1.001,5.0,21.815,0.157
20056.0,1268-327-1,47620260916592384,0.0253,0.9989,37.7,1.077,5.0,21.444000000000003,0.191
20349.0,1276-251-1,49231663928585344,0.7899,0.8519,37.1,1.2,5.0,20.394000000000002,0.175
19870.0,1263-1000-1,49365082792386816,0.24600000000000002,0.9698,38.037,1.0070000000000001,5.0,20.257,0.16399999999999998
18946.0,1258-768-1,50327292903510144,0.2142,0.9753,36.053000000000004,1.033,5.0,21.107,0.155
20614.0,1273-1106-1,47965438847833600,0.9738,0.8076,36.6,1.2,5.0,20.936999999999998,0.204
20255.0,1268-1268-1,47752477189229184,3.3102,0.3462,42.0,1.2,5.0,22.034000000000002,0.20800000000000002
19934.0,1276-86-1,52548237672091392,0.025,0.9990000000000001,37.675,1.018,5.0,19.633,0.14800000000000002
19789.0,1263-949-1,52813460492850304,1.4587,0.6918,38.4,1.2,5.0,17.008,0.154
15304.0,649-766-1,10584895361388800,10.0261,0.0183,32.282,1.022,5.0,,
15310.0,649-1241-1,10608569223157760,11.3999,0.0097,32.601,1.008,5.0,,
16908.0,1247-684-1,64266763882171648,2.384,0.4966,32.747,1.022,5.0,,
16529.0,1798-1193-1,68000018174329600,0.2029,0.9771,31.976,1.014,5.0,23.872,0.149
15300.0,1792-913-3,118234505424319360,0.3961,0.941,28.925,1.041,5.0,26.064,0.14800000000000002
21741.0,1830-1358-1,146698078328904064,0.5072,0.9173,40.522,1.013,5.0,16.874000000000002,0.141
14976.0,2344-1916-1,125355320683228288,0.2196,0.9744,27.67,1.024,5.0,25.320999999999998,0.14
15720.0,1805-247-1,117654650480415744,0.4029,0.9396,29.3,1.097,5.0,31.51,0.171
22394.0,1835-658-1,147182172683187712,0.0745,0.9947,39.77,1.047,5.0,20.457,0.182
21637.0,1830-1020-1,146677874804442240,0.0451,0.9975,39.614000000000004,1.041,5.0,23.244,0.188
21482.0,1838-564-1,151650072541569280,4.2426,0.2364,35.643,1.003,5.0,,
13806.0,1794-435-1,129070226875627008,0.0689,0.9953,25.869,1.022,5.0,24.145,0.138
21256.0,1278-1315-1,144377799556207488,0.3945,0.9414,40.486999999999995,1.02,5.0,23.041999999999998,0.18
20712.0,1277-808-1,145293177350363264,1.2154,0.7493,38.626,1.01,5.0,20.769000000000002,0.188
20557.0,1277-747-1,145373372976256512,0.2205,0.9742,38.984,1.008,5.0,23.268,0.187
20480.0,1276-639-1,145325544220443904,0.324,0.9555,38.504,1.028,5.0,19.777,0.154
21760.0,1842-1264-1,158941552620603776,13.3857,0.0039,28.6,1.8,1.0,,
20949.0,1837-270-1,151379146007107200,0.4351,0.9329,38.228,1.014,5.0,17.283,0.154
21099.0,1273-428-1,144171228809559808,0.1953,0.9784,39.937,1.003,5.0,21.928,0.163
21008.0,1273-583-1,144130512519598848,4.1397,0.2468,38.0,2.5,5.0,,
19793.0,1815-517-1,149005266040519808,0.1579,0.9841,37.692,1.026,5.0,22.218000000000004,0.159
10672.0,44-1162-1,2519811304873532160,11.2715,0.0103,26.8,1.05,5.0,,
23312.0,106-892-1,3239389678968988288,0.5857,0.8997,42.61,1.077,5.0,19.489,0.18
19441.0,666-35-1,3300315439330018304,0.2532,0.9686,38.364000000000004,1.013,5.0,27.958000000000002,0.183
21152.0,90-33-1,3285426608781249408,0.0786,0.9943,40.2,1.0,5.0,23.428,0.22
22177.0,88-1355-1,3281064262038614912,0.2186,0.9745,42.25,1.031,5.0,22.081,0.183
19796.0,671-211-1,3300934223858467072,0.4524,0.9292,38.563,1.011,5.0,22.156,0.161
19786.0,675-351-1,3304412597612195328,0.0902,0.993,38.802,1.01,5.0,21.142,0.165
17766.0,71-1173-1,3277270534605393920,0.2579,0.9677,34.492,1.031,5.0,27.655,0.17
20601.0,78-1147-1,3283823383388619008,5.0726,0.1666,41.448,1.0070000000000001,5.0,,
21053.0,1265-763-1,3312837021344678144,1.4866,0.6854,40.9,1.3,5.0,23.114,0.225
20948.0,1269-557-1,3314212063714381056,0.0309,0.9986,38.896,1.028,5.0,21.723000000000003,0.187
21317.0,1266-278-1,3312575681175439616,0.2149,0.9751,40.324,1.013,5.0,21.745,0.17
21112.0,681-829-1,3307815001984777088,0.1197,0.9894,40.580999999999996,1.047,5.0,18.741,0.17300000000000001
21723.0,690-945-1,3307992332594320640,0.4567,0.9283,41.626999999999995,1.018,5.0,23.171,0.179
20577.0,1269-1152-1,3313662892016181504,1.0854,0.7806,38.396,1.003,5.0,22.204,0.171
21474.0,1266-1214-1,3309967055477808000,10.5019,0.0147,33.7,1.2,5.0,,
20826.0,676-62-1,3306922954457367936,0.1292,0.9881,39.986,1.022,5.0,22.006999999999998,0.171
20485.0,1264-902-1,3312025581763840512,0.1666,0.9828,38.405,1.022,5.0,24.435,0.19699999999999998
19316.0,674-79-1,3304337452864501120,0.2773,0.9642,37.512,1.038,5.0,21.458000000000002,0.16399999999999998
20850.0,680-423-1,3307844860597241088,0.1485,0.9854,40.173,1.003,5.0,20.872,0.162
22203.0,1267-1102-1,3309006597711379328,0.5412,0.9097,41.815,1.226,5.0,20.988000000000003,0.185
20284.0,680-27-1,3310615561179780736,0.6687,0.8805,39.2,1.044,5.0,20.35,0.185
20527.0,680-889-1,3310820620098473728,0.3548,0.9494,39.731,1.033,5.0,23.018,0.16899999999999998
20815.0,1265-1048-1,3312709374919349248,0.02,0.9993,39.14,1.028,5.0,21.285,0.19399999999999998
18658.0,662-633-1,3302220274506270336,5.9628,0.1134,39.1,1.1,5.0,,
19877.0,1251-128-1,3312136494998639872,0.6919,0.8751,36.4,1.2,5.0,21.594,0.205
20082.0,1264-498-1,3312281664893305728,0.4306,0.9339,38.804,1.003,5.0,22.345,0.156
20441.0,1264-758-1,3313845101709242368,6.3744,0.0947,35.2,2.6,5.0,,
20567.0,1269-806-1,3313947699887831808,0.3651,0.9473,40.1,1.166,5.0,19.840999999999998,0.171
20400.0,680-995-1,3311000115371733504,0.2694,0.9657,37.8,2.3,5.0,22.201,0.21100000000000002
20827.0,680-104-1,3310903736305456512,0.0428,0.9977,39.633,1.002,5.0,20.399,0.16899999999999998
28356.0,121-432-1,3315967537107175168,0.2489,0.9693,45.0,2.5,5.0,13.681,0.24100000000000002
20951.0,1269-697-1,3314213025787054592,0.1036,0.9914,39.944,1.002,5.0,22.076999999999998,0.168
21066.0,673-700-1,3305871821341047808,0.6437,0.8864,41.489,1.033,5.0,21.381999999999998,0.19699999999999998
20762.0,680-639-1,3307645127438373888,0.1654,0.983,40.325,1.022,5.0,20.951,0.162
20741.0,1265-241-1,3313689417734366720,0.1069,0.991,39.693000000000005,1.038,5.0,21.93,0.20600000000000002
21267.0,681-651-1,3307528029449757056,1.9167,0.5899,36.9,1.345,5.0,21.803,0.20800000000000002
21179.0,677-290-1,3307504218151520256,1.0298,0.7941,42.1,1.0,5.0,21.730999999999998,0.16899999999999998
20978.0,1265-883-1,3312951748510907648,0.2703,0.9655,40.193000000000005,1.002,5.0,22.194000000000003,0.17300000000000001
20661.0,1265-1171-1,3312783557591565440,0.0268,0.9988,39.1,1.1179999999999999,5.0,21.34,0.212
20492.0,680-194-1,3311148824319241472,0.6991,0.8734,39.509,1.002,5.0,21.493000000000002,0.163
19781.0,679-597-1,3311514205777562496,0.7579,0.8595,38.592,1.002,5.0,20.043,0.159
20357.0,680-994-1,3311024785663873920,0.3328,0.9538,39.864000000000004,1.022,5.0,20.314,0.179
20563.0,1269-1212-1,3314079503847287424,0.1519,0.9849,39.080999999999996,1.013,5.0,21.865,0.195
20899.0,1269-22-1,3314109912215994112,0.3841,0.9435,39.567,1.013,5.0,21.939,0.177
19808.0,675-186-1,3310500078099136768,2.6535,0.4482,39.607,1.011,5.0,,
24923.0,707-1553-1,3387381641964995712,0.0644,0.9957,44.1,1.026,5.0,18.117,0.21600000000000003
23069.0,696-390-1,3392446817156214784,0.2625,0.9669,42.935,1.013,5.0,18.352,0.179
23498.0,697-1892-1,3391712034151625984,0.1951,0.9784,42.746,1.018,5.0,18.628,0.195
22654.0,1288-32-1,3406943087694799744,0.2011,0.9774,41.994,1.031,5.0,19.84,0.16399999999999998
22524.0,1280-1207-1,3405220084257276416,0.4625,0.9271,42.648999999999994,1.014,5.0,20.275,0.201
22422.0,1280-485-1,3405113740864365440,0.2536,0.9685,41.672,1.01,5.0,20.94,0.177
22566.0,1280-1110-1,3404850785786832512,0.7098,0.8709,42.464,1.018,5.0,16.282,0.166
22850.0,1288-1591-1,3408463506117452544,1.1041,0.7761,38.4,2.0,5.0,15.995,0.17600000000000002
21261.0,1274-1346-1,3410453484725565312,0.4132,0.9375,40.525,1.011,5.0,21.105,0.166
22505.0,1280-662-1,3404812680839290368,0.4107,0.938,41.966,1.053,5.0,21.581,0.23
22380.0,1284-1397-1,3406823240927024256,0.7062,0.8717,40.859,1.011,5.0,21.82,0.185
24116.0,1290-502-1,3414082525931242368,2.23,0.5261,45.3,1.2,5.0,12.479000000000001,0.165
23750.0,1286-2135-1,3407121827053483776,0.0938,0.9926,42.71,1.016,5.0,18.74,0.192
24019.0,1853-1958-1,3422091368627963008,6.9387,0.0739,45.3,1.127,5.0,,
22253.0,1831-1894-1,3413146910255989248,0.8079999999999999,0.8476,40.876999999999995,1.026,5.0,18.498,0.16899999999999998
19554.0,80-1093-1,,0.7935,0.851,36.6,1.2,5.0,26.654,0.248
23701.0,110-1206-1,,0.46,0.9276,42.06,1.013,5.0,19.99,0.935
20751.0,672-425-1,,1.7428,0.6275,40.296,1.02,5.0,23.173000000000002,0.41
20745.0,676-389-1,,2.3247,0.5078,40.484,1.016,5.0,25.107,0.675
20419.0,676-680-1,,1.4302,0.6985,39.915,1.02,5.0,21.725,0.48700000000000004
20901.0,677-1116-1,,0.6249,0.8907,39.9,4.1,5.0,21.115,0.183
20219.0,679-750-1,,1.2621,0.7381,42.0,2.5,5.0,21.947,0.195
21273.0,681-1151-1,,1.9616,0.5804,37.7,1.345,5.0,,
20873.0,681-1152-1,,4.4515,0.2167,41.0,1.044,5.0,21.862,0.37799999999999995
21036.0,681-1153-1,,0.2458,0.9699,38.8,1.2,5.0,22.19,0.209
21670.0,682-1726-1,,4.0693,0.2541,36.3,1.2,5.0,,
22221.0,683-688-1,,12.8023,0.0051,42.419,1.006,5.0,,
22044.0,687-1627-1,,0.9268,0.8190000000000001,39.6,1.1179999999999999,5.0,,
22550.0,688-43-1,,0.7089,0.8711,42.846000000000004,1.014,5.0,21.397,0.392
21589.0,690-1547-1,,0.968,0.809,44.7,5.0,5.0,22.25,0.265
22157.0,691-1509-1,,2.3554,0.502,43.0,1.0,5.0,,
21654.0,694-225-1,,0.4231,0.9354,41.378,1.0070000000000001,5.0,22.77,0.319
22607.0,696-1789-1,,3.589,0.3094,41.004,1.028,5.0,,
23983.0,702-2789-1,,0.6455,0.8859,44.56,1.01,5.0,19.014,0.23600000000000002
12709.0,1226-710-1,,12.3537,0.0063,31.566999999999997,1.011,5.0,,
13834.0,1230-1425-1,,0.08199999999999999,0.9939,28.1,1.2,5.0,30.342,0.172
18170.0,1253-716-1,,0.6834,0.8771,35.0,2.5,5.0,23.725,0.185
19098.0,1254-178-1,,3.6762,0.2986,36.802,1.001,5.0,21.94,0.305
18735.0,1254-866-1,,4.743,0.1916,31.7,1.1,5.0,,
20215.0,1264-348-1,,4.0467,0.2565,39.544000000000004,1.036,5.0,,
20440.0,1264-755-1,,0.826,0.8432,37.4,2.9,5.0,21.893,0.295
20484.0,1264-1008-1,,0.5202,0.9144,37.7,1.044,5.0,20.616999999999997,0.22399999999999998
20205.0,1264-1009-1,,1.4758,0.6879,38.78,1.006,5.0,,
20261.0,1264-1010-1,,1.2406,0.7433,36.2,1.2,5.0,21.037,0.19899999999999998
20719.0,1265-59-1,,7.0939,0.069,38.876,1.047,5.0,,
20916.0,1265-791-1,,5.8972,0.1167,45.0,2.5,5.0,,
21029.0,1265-1169-1,,1.4353,0.6973,41.0,1.8,5.0,,
20885.0,1265-1170-1,,7.3964,0.0603,39.67,1.003,5.0,,
20894.0,1265-1172-1,,0.0792,0.9942,38.9,1.02,5.0,22.079,0.23800000000000002
21137.0,1265-1173-1,,3.0857,0.3786,36.0,2.5,5.0,,
21039.0,1265-1174-1,,0.3531,0.9498,39.96,1.026,5.0,21.706,0.244
20995.0,1265-1175-1,,3.7849,0.2856,29.3,5.0,5.0,22.111,0.278
20713.0,1265-1176-1,,5.0107,0.171,40.8,4.26,5.0,,
21543.0,1266-112-1,,1.6757,0.6424,41.74100000000001,1.053,5.0,20.430999999999997,0.387
21280.0,1266-398-1,,6.8029,0.0785,37.6,1.2,5.0,,
21588.0,1266-1417-1,,8.5689,0.0356,38.4,1.2,5.0,,
21683.0,1266-1418-1,,5.375,0.1463,35.6,2.5,5.0,,
21762.0,1267-210-1,,2.036,0.565,40.074,1.014,5.0,20.325,0.564
20086.0,1268-707-1,,7.5096,0.0573,39.659,1.001,5.0,,
20455.0,1268-1267-1,,0.0904,0.993,39.15,1.003,5.0,20.919,0.249
20935.0,1269-294-1,,1.1024,0.7765,40.049,1.006,5.0,21.918000000000003,0.244
20679.0,1269-829-1,,0.7881,0.8523,37.0,7.5,5.0,22.605,0.40700000000000003
21123.0,1269-1027-1,,0.5922,0.8982,39.548,1.006,5.0,22.02,0.342
20542.0,1269-1244-1,,2.4608,0.4824,39.2,1.2,5.0,,
20648.0,1269-1246-1,,0.6143,0.8932,38.7,1.3,5.0,21.813000000000002,0.235
22265.0,1271-1229-1,,1.675,0.6425,39.8,1.077,5.0,20.031,0.314
22224.0,1271-1301-1,,1.3522,0.7168,39.481,1.004,5.0,22.814,0.43700000000000006
20237.0,1272-439-1,,0.7457,0.8624,38.596,1.016,5.0,22.289,0.24
20482.0,1272-912-1,,2.3618,0.5008,39.083,1.004,5.0,19.49,0.313
20686.0,1273-138-1,,0.6915,0.8752,40.194,1.105,5.0,22.059,0.282
20889.0,1273-1104-1,,0.3019,0.9597,38.87,1.002,5.0,22.035,0.17600000000000002
20087.0,1276-1622-1,,0.2412,0.9707,37.78,1.0070000000000001,5.0,18.099,0.17600000000000002
20635.0,1277-1626-1,,0.1685,0.9825,38.6,1.2,5.0,21.136999999999997,0.153
20641.0,1277-1627-1,,4.1647,0.2442,32.0,2.5,5.0,22.345,0.198
20842.0,1277-1628-1,,0.9408,0.8156,37.5,3.3,5.0,20.313,0.198
23214.0,1281-792-1,,0.9314,0.8178,42.9,1.5,5.0,23.61,0.255
22496.0,1284-332-1,,3.2397,0.3561,41.8,1.013,5.0,23.299,0.435
22565.0,1288-1706-1,,3.4186,0.3315,36.8,1.2,5.0,19.506,0.254
22350.0,1292-770-1,,8.692,0.0337,41.066,1.093,5.0,,
23497.0,1293-2747-1,,1.8707,0.5997,38.0,1.7,5.0,18.942999999999998,0.195
26382.0,1302-362-1,,2.237,0.5247,41.1,1.2,5.0,20.133,0.273
26159.0,1309-1314-1,,7.8066,0.0502,42.085,1.0,11.0,6.406000000000001,0.273
19591.0,1815-309-1,,0.4728,0.9248,36.084,1.033,5.0,25.378,0.35100000000000003
20711.0,1816-1893-1,,1.43,0.6985,35.6,1.166,5.0,21.572,0.16699999999999998
20491.0,1820-1157-1,,1.3778,0.7108,35.9,1.1179999999999999,5.0,18.654,0.205
19365.0,1826-1301-1,,2.7018,0.4399,37.324,1.011,5.0,14.627,0.175
21459.0,1830-2128-1,,6.1216,0.1058,43.3,1.2,5.0,,
13117.0,,,5.8449,0.1194,27.0,1.114,5.0,,
20605.0,,,1.7653,0.6225,40.6,1.063,5.0,20.579,0.9359999999999999
24020.0,,,3.5149,0.3188,44.31,1.018,5.0,17.992,0.588
,632-608-1,23311811172415488,3.2555,0.1964,,,,11.675999999999998,0.134
,635-90-1,26259120810103552,6.9465,0.031,,,,,
,644-477-1,21390998718385664,0.8154,0.6652,,,,11.005,0.09300000000000001
,1272-67-1,48986953869664000,1.0899,0.5799,,,,10.121,0.12
,665-1048-1,38453460676522752,8.2327,0.0163,,,,,
,1272-945-1,49155660184551680,1.9633,0.3747,,,,10.697000000000001,0.11699999999999999
,1814-794-1,53942246617146240,0.2339,0.8896,,,,21.273000000000003,0.185
,1821-255-1,67270457850822912,3.6254,0.1632,,,,,
,1218-269-1,79881650062116352,7.6179,0.0222,,,,,
,1240-134-1,59364144612120064,2.5644,0.2774,,,,,
,1240-572-1,59404001908663552,0.9279999999999999,0.6287,,,,10.921,0.081
,1811-2014-1,71487325460694912,0.1031,0.9497,,,,17.79,0.42100000000000004
,1215-1096-1,76117300205326976,7.7234,0.021,,,,,
,1215-357-1,82603594175480320,10.0332,0.0066,,,,,
,2341-1205-1,124145479935111424,9.8857,0.0071,,,,,
,1785-843-1,114317976286533888,10.2916,0.0058,,,,,
,1834-179-1,148183862135533952,0.2698,0.8738,,,,22.836,0.253
,1277-136-1,144534720481849856,0.1917,0.9086,,,,23.25,0.146
,1786-572-1,114842099735769856,11.1859,0.0037,,,,,
,1815-1949-1,148946064212226944,0.6723,0.7145,,,,18.3,0.16699999999999998
,2361-1603-1,170457596891797760,0.4408,0.8022,,,,22.335,0.163
,2378-1207-1,173447237727870080,3.2695,0.195,,,,,
,4767-1278-1,3216618964956221184,2.7672,0.2507,,,,,
,4754-346-1,3226859610099438592,9.5252,0.0085,,,,,
,118-854-1,3223884400355529984,0.1743,0.9165,,,,15.619000000000002,0.23199999999999998
,111-1438-1,3240642984786774528,1.2137,0.5451,,,,14.743,0.213
,93-579-1,3239532512402275584,11.0089,0.0041,,,,,
,1265-1118-1,3311179335766914944,0.3567,0.8366,,,,20.709,0.19
,689-1248-1,3291625517899980032,2.1663,0.3385,,,,11.704,0.188
,78-257-1,3283285790922135424,0.0043,0.9978,,,,26.854,0.19
,80-1019-1,3284709349242833792,6.3994,0.0408,,,,,
,91-1330-1,3282171745125201792,0.0161,0.992,,,,20.971999999999998,0.19399999999999998
,673-130-1,3306066434899058560,8.5347,0.013999999999999999,,,,,
,142-1245-1,3321943966921179648,0.7774,0.6779,,,,14.2,0.389
,701-171-1,3334853607820749184,8.517000000000001,0.0141,,,,,
,700-935-1,3337480684695467648,0.1246,0.9396,,,,13.027000000000001,0.212
,723-773-1,3340209775636513408,6.9801,0.0305,,,,,
,706-291-1,3388382060107608832,1.9449,0.3782,,,,,
,1297-1232-1,3396115646939927552,0.2387,0.8875,,,,13.072000000000001,0.247
,1307-639-1,3399771248225858944,8.9274,0.0115,,,,,
,1306-153-1,3402663135604113920,11.3295,0.0035,,,,,
,1309-390-1,3402090461845409792,6.6244,0.0364,,,,,
,1286-461-1,3407612484118068352,1.2405,0.5378,,,,14.852,0.301
,1289-1656-1,3407518510233429248,0.198,0.9057,,,,18.468,0.309
,1279-2259-1,3412605297699792512,0.2826,0.8682,,,,23.680999999999997,0.212
,1831-63-1,3413223223234482048,4.2138,0.1216,,,,,
,1286-2091-1,3407092655635564544,0.3046,0.8587,,,,12.407,0.204
,2405-952-1,3444787247130393600,6.0597,0.0483,,,,,
15624.0,57-78-1,,1.8677,0.39299999999999996,,,,9.647,0.153
22802.0,1840-328-1,,3.1865,0.2033,,,,15.429,0.45799999999999996
21092.0,,,1.5757,0.4548,,,,33.196,1.6
