HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod,RAJ2000_HIP,DEJ2000_HIP,RAJ2000_TYC,DEJ2000_TYC,DEJ2000_GaiaDR1,RAJ2000_GaiaDR1,RAJ2000,DEJ2000,ID,RAJ2000_epoch2000,DEJ2000_epoch2000
21008.0,1273-583-1,144130512519598848,4.1397,0.2468,38.0,2.5,5.0,,,67.5749071458297,19.8405314669437,,,19.840422354894407,67.57530039381699,67.57486699838806,19.84056739499803,144130512519598848,67.57486699838806,19.84056739499803
19793.0,1815-517-1,149005266040519808,0.1579,0.9841,37.692,1.026,5.0,22.218000000000004,0.159,63.6346432161142,23.5749438938167,,,23.5747434388685,63.635188645807155,63.63462579277847,23.574951409581804,149005266040519808,63.63462579277847,23.574951409581804
10672.0,44-1162-1,2519811304873532160,11.2715,0.0103,26.8,1.05,5.0,,,34.3323257867318,5.3607418834902,,,5.3608132626059595,34.332934481702125,34.33230526815609,5.360739498884978,2519811304873532160,34.33230526815609,5.360739498884978
23312.0,106-892-1,3239389678968988288,0.5857,0.8997,42.61,1.077,5.0,19.489,0.18,75.2036937039901,4.7331117920816,,,4.733153564430831,75.2039971193151,75.20368326522592,4.733110638787543,3239389678968988288,75.20368326522592,4.733110638787543
19441.0,666-35-1,3300315439330018304,0.2532,0.9686,38.364000000000004,1.013,5.0,27.958000000000002,0.183,62.4556211460956,9.3054923379672,,,9.305469129388888,62.45627499788089,62.45559986949794,9.305492581166783,3300315439330018304,62.45559986949794,9.305492581166783
21152.0,90-33-1,3285426608781249408,0.0786,0.9943,40.2,1.0,5.0,23.428,0.22,68.020034330247,5.4100419156541,,,5.410073615063923,68.02050517240042,68.02001827388125,5.410038911206784,3285426608781249408,68.02001827388125,5.410038911206784
22177.0,88-1355-1,3281064262038614912,0.2186,0.9745,42.25,1.031,5.0,22.081,0.183,71.5783067030921,3.63633670936,,,3.6363921788475935,71.57869652183426,71.57829420606372,3.636334960142628,3281064262038614912,71.57829420606372,3.636334960142628
19796.0,671-211-1,3300934223858467072,0.4524,0.9292,38.563,1.011,5.0,22.156,0.161,63.64308666743,10.7013876578677,,,10.701363747100155,63.643594310985804,63.64307039283741,10.701387496813515,3300934223858467072,63.64307039283741,10.701387496813515
19786.0,675-351-1,3304412597612195328,0.0902,0.993,38.802,1.01,5.0,21.142,0.165,63.6135606314361,12.4353146454602,,,12.43526027944727,63.61405047791578,63.61354423537758,12.435316497889682,3304412597612195328,63.61354423537758,12.435316497889682
17766.0,71-1173-1,3277270534605393920,0.2579,0.9677,34.492,1.031,5.0,27.655,0.17,57.0494313848973,7.1462435412158,,,7.146270705308769,57.05016873322544,57.049407127389145,7.146242714354459,3277270534605393920,57.049407127389145,7.146242714354459
20601.0,78-1147-1,3283823383388619008,5.0726,0.1666,41.448,1.0070000000000001,5.0,,,66.1801066787564,4.6999553472461,,,4.6999619888769,66.18052216928312,66.18009318357873,4.699953130870824,3283823383388619008,66.18009318357873,4.699953130870824
21053.0,1265-763-1,3312837021344678144,1.4866,0.6854,40.9,1.3,5.0,23.114,0.225,67.6949915753106,16.148682603387,,,16.14854171363946,67.69548716638907,67.69499662232306,16.148678527357006,3312837021344678144,67.69499662232306,16.148678527357006
20948.0,1269-557-1,3314212063714381056,0.0309,0.9986,38.896,1.028,5.0,21.723000000000003,0.187,67.3764605570194,17.8631654092298,,,17.863031679935503,67.37692584099567,67.37644593999096,17.863169311362725,3314212063714381056,67.37644593999096,17.863169311362725
21317.0,1266-278-1,3312575681175439616,0.2149,0.9751,40.324,1.013,5.0,21.745,0.17,68.6471257337145,15.5046231937428,,,15.504511390029077,68.64756188507155,68.64711006616062,15.504626526469707,3312575681175439616,68.64711006616062,15.504626526469707
21112.0,681-829-1,3307815001984777088,0.1197,0.9894,40.580999999999996,1.047,5.0,18.741,0.17300000000000001,67.8722683432648,13.9034229407318,,,13.90340255924015,67.87266071003366,67.872261758929,13.903477294846635,3307815001984777088,67.872261758929,13.903477294846635
21723.0,690-945-1,3307992332594320640,0.4567,0.9283,41.626999999999995,1.018,5.0,23.171,0.179,69.9623858079281,12.7284782958121,,,12.728410982791733,69.96282379659395,69.9623709930561,12.72848057682783,3307992332594320640,69.9623709930561,12.72848057682783
20577.0,1269-1152-1,3313662892016181504,1.0854,0.7806,38.396,1.003,5.0,22.204,0.171,66.1180301552738,16.8861672985568,66.1180301552738,16.8861672985568,16.886061139666936,66.1185183774004,66.11800954783283,16.886168951905276,3313662892016181504,66.11800954783283,16.886168951905276
21474.0,1266-1214-1,3309967055477808000,10.5019,0.0147,33.7,1.2,5.0,,,69.1696581261984,15.8693548759734,69.1696581261984,15.8693548759734,15.869213277565756,69.17008889019905,69.16966342816275,15.869324919049209,3309967055477808000,69.16966342816275,15.869324919049209
20826.0,676-62-1,3306922954457367936,0.1292,0.9881,39.986,1.022,5.0,22.006999999999998,0.171,66.9419773432638,11.7364189906505,,,11.7363672504647,66.94244576243062,66.94196200134623,11.736420943377304,3306922954457367936,66.94196200134623,11.736420943377304
20485.0,1264-902-1,3312025581763840512,0.1666,0.9828,38.405,1.022,5.0,24.435,0.19699999999999998,65.8553344626266,15.7631243416933,,,15.763012671881224,65.85587667922648,65.8553174692223,15.763126646741906,3312025581763840512,65.8553174692223,15.763126646741906
19316.0,674-79-1,3304337452864501120,0.2773,0.9642,37.512,1.038,5.0,21.458000000000002,0.16399999999999998,62.1111140480638,12.1918462564674,,,12.19180069547861,62.11162313814102,62.11109744286949,12.191847479646187,3304337452864501120,62.11109744286949,12.191847479646187
20850.0,680-423-1,3307844860597241088,0.1485,0.9854,40.173,1.003,5.0,20.872,0.162,67.01847336752,13.8679392159841,,,13.867859574802925,67.0189119169972,67.0184579970285,13.867941342359865,3307844860597241088,67.0184579970285,13.867941342359865
22203.0,1267-1102-1,3309006597711379328,0.5412,0.9097,41.815,1.226,5.0,20.988000000000003,0.185,71.6266101083283,15.4720413450286,71.6266101083283,15.4720413450286,15.471938667613827,71.62698443129749,71.62659704805634,15.472050528962155,3309006597711379328,71.62659704805634,15.472050528962155
20284.0,680-27-1,3310615561179780736,0.6687,0.8805,39.2,1.044,5.0,20.35,0.185,65.2196680317327,13.8644272665623,,,13.864374411314714,65.2201271123689,65.21965676647444,13.864437289221735,3310615561179780736,65.21965676647444,13.864437289221735
20527.0,680-889-1,3310820620098473728,0.3548,0.9494,39.731,1.033,5.0,23.018,0.16899999999999998,65.9767187733762,14.0521043360988,,,14.052024950181032,65.97721529203606,65.97670224557979,14.052106476733053,3310820620098473728,65.97670224557979,14.052106476733053
20815.0,1265-1048-1,3312709374919349248,0.02,0.9993,39.14,1.028,5.0,21.285,0.19399999999999998,66.899547444572,15.5891923902785,66.899547444572,15.5891923902785,15.589092293402937,66.90000160908953,66.89953136776204,15.58919476758585,3312709374919349248,66.89953136776204,15.58919476758585
18658.0,662-633-1,3302220274506270336,5.9628,0.1134,39.1,1.1,5.0,,,59.9187359563091,10.3303518462933,,,10.330378334768653,59.919329773813466,59.91872012172696,10.330399277021757,3302220274506270336,59.91872012172696,10.330399277021757
19877.0,1251-128-1,3312136494998639872,0.6919,0.8751,36.4,1.2,5.0,21.594,0.205,63.9428517196271,15.4006962198639,,,15.400606633599304,63.94335147397481,63.94283508189675,15.400699265586994,3312136494998639872,63.94283508189675,15.400699265586994
20082.0,1264-498-1,3312281664893305728,0.4306,0.9339,38.804,1.003,5.0,22.345,0.156,64.5802980168333,16.0883313214647,,,16.088234273642602,64.58081422257624,64.58028160776614,16.088335111527527,3312281664893305728,64.58028160776614,16.088335111527527
20441.0,1264-758-1,3313845101709242368,6.3744,0.0947,35.2,2.6,5.0,,,65.686333500575,16.7908773751687,,,16.79081388973247,65.68709848223729,65.686478333235,16.790956224125733,3313845101709242368,65.686478333235,16.790956224125733
20567.0,1269-806-1,3313947699887831808,0.3651,0.9473,40.1,1.166,5.0,19.840999999999998,0.171,66.0928056803697,17.0789554725408,,,17.078843560195775,66.09324048719263,66.09279049600346,17.078958312378273,3313947699887831808,66.09279049600346,17.078958312378273
20400.0,680-995-1,3311000115371733504,0.2694,0.9657,37.8,2.3,5.0,22.201,0.21100000000000002,65.5146589729297,14.0771992283218,,,14.07710940070473,65.51514757218808,65.51464264538896,14.07720145748506,3311000115371733504,65.51464264538896,14.07720145748506
20827.0,680-104-1,3310903736305456512,0.0428,0.9977,39.633,1.002,5.0,20.399,0.16899999999999998,66.9459806263297,14.4177499228323,,,14.417670032319155,66.94641297774022,66.94596618217882,14.417752927131195,3310903736305456512,66.94596618217882,14.417752927131195
28356.0,121-432-1,3315967537107175168,0.2489,0.9693,45.0,2.5,5.0,13.681,0.24100000000000002,89.8746847659257,2.4761592916098,,,2.476200825428954,89.8747537362846,89.87468288593752,2.4761558666719954,3315967537107175168,89.87468288593752,2.4761558666719954
20951.0,1269-697-1,3314213025787054592,0.1036,0.9914,39.944,1.002,5.0,22.076999999999998,0.168,67.3816929954995,17.8931836328543,,,17.893046150933625,67.3821646750955,67.38167767762859,17.893187756553335,3314213025787054592,67.38167767762859,17.893187756553335
21066.0,673-700-1,3305871821341047808,0.6437,0.8864,41.489,1.033,5.0,21.381999999999998,0.19699999999999998,67.7382141613331,10.7517674364505,,,10.751722136536603,67.73865150997344,67.73820019530729,10.751768714250767,3305871821341047808,67.73820019530729,10.751768714250767
20762.0,680-639-1,3307645127438373888,0.1654,0.983,40.325,1.022,5.0,20.951,0.162,66.726426801656,13.1381768159674,,,13.138107845306891,66.7268738921239,66.72641181967214,13.138178896973919,3307645127438373888,66.72641181967214,13.138178896973919
20741.0,1265-241-1,3313689417734366720,0.1069,0.991,39.693000000000005,1.038,5.0,21.93,0.20600000000000002,66.6671730925492,16.7469122726661,,,16.74678117336615,66.66764143949031,66.66715206252515,16.746902091009787,3313689417734366720,66.66715206252515,16.746902091009787
21267.0,681-651-1,3307528029449757056,1.9167,0.5899,36.9,1.345,5.0,21.803,0.20800000000000002,68.4443422244307,13.2518857720052,,,13.251811966615351,68.44478209099302,68.44432731616163,13.251886957745375,3307528029449757056,68.44432731616163,13.251886957745375
21179.0,677-290-1,3307504218151520256,1.0298,0.7941,42.1,1.0,5.0,21.730999999999998,0.16899999999999998,68.106895283683,13.1132326686856,,,13.11315576161937,68.10733969260235,68.10687731709302,13.113235127642081,3307504218151520256,68.10687731709302,13.113235127642081
