RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,RAJ2000_Curtis_Olivares_GaiaC_CG,DEJ2000_Curtis_Olivares_GaiaC_CG
289.54075,-16.272833300000002,191809781616222.0,0.9,289.540766954,-16.2728696879,0.47418626843300604,219624547.0,0.1435018032524206,289.540758477,-16.27285149395,4.183930438518525e+18,289.54076000000003,-16.27299,0.9,0.4986495565096094,289.54075885775,-16.272886120462502,289.54076137818,-16.27298601989,4.183930438518525e+18,1.0,0.35974339739970673,289.5407592778217,-16.272902770367086
289.1828333,-16.4399722,191643881626239.0,0.9,,,,,,289.1828333,-16.4399722,,,,,,289.1828333,-16.4399722,,,,,,289.1828333,-16.4399722
288.3135833,-17.1058333,191315261706210.0,0.9,288.313612116,-17.1057993408,0.44481964575947797,219288101.0,0.15740478244009098,288.313597708,-17.105816320400002,4.0877151652745953e+18,288.31361,-17.10592,0.9,0.3756351258847989,288.313600781,-17.105842240300003,288.3136097204,-17.10591589957,4.0877151652745953e+18,1.0,0.266951277404254,288.3136022709,-17.105854516845003
288.45070830000003,-16.8349722,191348171650059.0,0.9,288.450746175,-16.8350528363,0.56171385325146,219403368.0,0.3182775534772622,288.4507272375,-16.835012518150002,4.0878169731762376e+18,288.45074,-16.83517,0.9,0.5686376603128037,288.450730428125,-16.8350518886125,288.45074260802,-16.83516725625,4.0878169731762376e+18,1.0,0.4174385618218047,288.4507324581075,-16.835071116552083
289.1905833,-16.5896111,191645741635226.0,0.9,289.190620045,-16.5896345155,0.00642342274542153,219503612.0,0.15224274113999756,289.1906016725,-16.589622807749997,4.087841918346863e+18,289.19061,-16.58975,0.9,0.4587926012849447,289.19060375437505,-16.5896546058125,289.19061493931,-16.58974831484,4.087841918346863e+18,1.0,0.3395524560532269,289.19060561853087,-16.58967022398375
289.2009583,-16.197833300000003,191648231611522.0,0.9,,,,,,289.2009583,-16.197833300000003,,,,,,289.2009583,-16.197833300000003,,,,,,289.2009583,-16.197833300000003
289.23625,-16.2073611,191656701612265.0,0.9,289.23625074,-16.2073389271,0.9519452107506229,219648746.0,0.0798634205559838,289.23625037,-16.20735001355,4.1839456942426276e+18,289.23625,-16.20746,0.9,0.3959532859184476,289.2362502775,-16.207377510162498,289.23624599923,-16.20745704198,4.1839456942426276e+18,0.8,0.28669627102874445,289.236249564455,-16.207390765465416
289.89054169999997,-16.9809444,191933731658514.0,0.9,,,,,,289.89054169999997,-16.9809444,,,,,,289.89054169999997,-16.9809444,,,,,,289.89054169999997,-16.9809444
289.0606667,-16.4019722,191614561624071.0,0.7,,,,,,289.0606667,-16.4019722,,,,,,289.0606667,-16.4019722,,,,,,289.0606667,-16.4019722
289.0360417,-16.1874444,191608651611148.0,0.9,289.03604506,-16.1874502032,0.86740057593402,219655998.0,0.02390392337552856,289.03604338,-16.187447301600002,4.1841289347281306e+18,289.03604,-16.18756,0.9,0.4058824923876123,289.03604253500004,-16.187475476200003,289.03604223403,-16.187562975320002,4.1841289347281306e+18,1.0,0.31499855061589005,289.03604248483833,-16.187490059386672
