object,ra,dec,k2campaign,fpa_module,Vmag,Jmag,Hmag,Kmag,ndet,best_aperture_im,best_aperture_ep,best_aperture_tf,bestaper_lcurl,full_lcurl,plot_bestaper_IMLC,plot_bestaper_EPLC,plot_bestaper_TFLC
2MASS J06063943+2417073,91.664304,24.285381,0,24,9.945,9.631,9.642,9.58,1387,8,0,8,http://k2.hatsurveys.org/archive/K2.0/module-24/06063943+2417073-3085d4a9724256aea56e58b444d3e0c71fa844014900533dc8b17fd9-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063943+2417073-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063943+2417073-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063943+2417073-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063943+2417073-24-TF-bestaper-k2lc.png
2MASS J06063990+2332435,91.666271,23.545406,0,24,13.04,12.053,11.965,11.836,561,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06063990+2332435-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063990+2332435-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06063990+2332435-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063990+2332435-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06063990+2332435-24-TF-bestaper-k2lc.png
2MASS J06064044+2417223,91.668533,24.289521,0,24,15.556,13.683,13.277,13.224,1387,8,8,8,http://k2.hatsurveys.org/archive/K2.0/module-24/06064044+2417223-86da2ca2ea95e8c574796db061cfac9437f6c510bee86df6f8ede9d8-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064044+2417223-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064044+2417223-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064044+2417223-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064044+2417223-24-TF-bestaper-k2lc.png
2MASS J06064231+2402015,91.676332,24.033784,0,24,14.897,11.464,10.648,10.384,1388,4,0,4,http://k2.hatsurveys.org/archive/K2.0/module-24/06064231+2402015-74163a1794fe4aff040df78eb6ad1e02051259bda8b64ac18b2c9bc4-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064231+2402015-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064231+2402015-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064231+2402015-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064231+2402015-24-TF-bestaper-k2lc.png
2MASS J06064271+2402011,91.678196,24.033616,0,24,None,14.479,14.07,13.88,351,4,0,4,http://k2.hatsurveys.org/archive/K2.0/module-24/06064271+2402011-74163a1794fe4aff040df78eb6ad1e02051259bda8b64ac18b2c9bc4-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064271+2402011-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064271+2402011-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064271+2402011-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064271+2402011-24-TF-bestaper-k2lc.png
2MASS J06064288+2321199,91.678729,23.355532,0,24,None,13.647,12.966,12.771,359,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06064288+2321199-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064288+2321199-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064288+2321199-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064288+2321199-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064288+2321199-24-TF-bestaper-k2lc.png
2MASS J06064314+2321182,91.679802,23.35507,0,24,None,13.692,12.975,12.824,361,0,0,0,http://k2.hatsurveys.org/archive/K2.0/module-24/06064314+2321182-da6749da3cc4a5e4ee005b1548d00ac5a8d9314c0e3ba9a9d203e02c-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064314+2321182-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064314+2321182-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064314+2321182-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064314+2321182-24-TF-bestaper-k2lc.png
2MASS J06064414+2342106,91.683954,23.70297,0,24,10.59,10.257,10.217,10.21,1387,3,3,3,http://k2.hatsurveys.org/archive/K2.0/module-24/06064414+2342106-ec71212af05e0ac7b3d6adb9fed85bc7d1f5d85f880909177cd76a8a-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064414+2342106-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064414+2342106-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064414+2342106-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064414+2342106-24-TF-bestaper-k2lc.png
2MASS J06064420+2342174,91.684206,23.704839,0,24,None,9.297,8.231,7.89,1387,8,8,8,http://k2.hatsurveys.org/archive/K2.0/module-24/06064420+2342174-86da2ca2ea95e8c574796db061cfac9437f6c510bee86df6f8ede9d8-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064420+2342174-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064420+2342174-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064420+2342174-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064420+2342174-24-TF-bestaper-k2lc.png
2MASS J06064482+2342172,91.686916,23.704787,0,24,None,14.428,13.875,13.894,1387,7,7,7,http://k2.hatsurveys.org/archive/K2.0/module-24/06064482+2342172-378efa99ffc91b31ffa0cc8950b4eeaadf2cf3116c103f7c0a7e4f26-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064482+2342172-730d980afc0532e9636f59f499bf0fe09dad097f9c9809c7fe0c8fdf-k2lc.csv.gz,http://k2.hatsurveys.org/archive/K2.0/module-24/06064482+2342172-24-IM-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064482+2342172-24-EP-bestaper-k2lc.png,http://k2.hatsurveys.org/archive/K2.0/module-24/06064482+2342172-24-TF-bestaper-k2lc.png
